"Player","Squad","Nation","Pos","Pos2","Age","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Manu Trigueros","Villarreal","ESP","MF",NA,31,7,5,71.4285714285714,10,10,40,1,1,0,3,9,0
"Viktor Tsyhankov","Girona","UKR","MF","FW",25,29,20,68.9655172413793,26,26,53.8,18,1,17,12,24,0
"Beñat Turrientes","Real Sociedad","ESP","MF",NA,21,31,17,54.8387096774194,30,30,43.3,19,8,11,6,17,0
"Myrto Uzuni","Granada","ALB","FW",NA,28,18,14,77.7777777777778,27,27,22.2,19,3,16,4,7,0
"Óscar Valentín","Rayo Vallecano","ESP","MF",NA,28,107,66,61.6822429906542,101,101,45.5,62,10,52,35,52,1
"Martin Valjent","Mallorca","SVK","DF",NA,27,34,18,52.9411764705882,30,30,60,26,11,15,29,112,1
"Jesús Vallejo","Granada","ESP","DF",NA,26,3,1,33.3333333333333,2,2,100,3,2,1,0,1,1
"Álvaro Vallés","Las Palmas","ESP","GK",NA,26,3,2,66.6666666666667,8,8,37.5,0,0,0,0,40,1
"Federico Valverde","Real Madrid","URU","MF",NA,25,47,34,72.3404255319149,42,42,57.1,39,2,37,43,40,0
"Siebe Van Der Heyden","Mallorca","BEL","DF",NA,25,9,2,22.2222222222222,6,6,66.7,1,1,0,7,12,0
"José Luis García Vayá","Valencia","ESP","MF",NA,24,78,53,67.9487179487179,71,71,52.1,41,10,31,49,71,0
"Borja Vázquez","Cádiz","ESP","FW",NA,18,1,0,0,1,1,100,0,0,0,0,1,0
"Jesus Vazquez","Valencia","ESP","DF","MF",20,24,12,50,16,16,62.5,17,4,13,3,24,0
"Kevin Vázquez","Celta Vigo","ESP","DF",NA,30,15,13,86.6666666666667,21,21,57.1,11,3,8,5,25,0
"Lucas Vázquez","Real Madrid","ESP","DF",NA,32,37,25,67.5675675675676,25,25,72,27,5,22,12,36,0
"Alejo Véliz","Sevilla","ARG","FW",NA,19,1,0,0,2,2,50,0,0,0,0,1,0
"Arthur Vermeeren","Atlético Madrid","BEL","MF",NA,18,1,0,0,1,1,0,5,0,5,6,2,0
"Mikel Vesga","Athletic Club","ESP","MF",NA,30,40,20,50,49,49,38.8,19,7,12,32,35,1
"Carlos Vicente","Alavés","ESP","FW",NA,24,16,6,37.5,25,25,40,4,0,4,4,9,0
"Nacho Vidal","Osasuna","ESP","DF","FW",28,5,4,80,5,5,40,2,0,2,0,6,0
"Nacho Vidal","Mallorca","ESP","DF",NA,28,12,5,41.6666666666667,13,13,46.2,5,2,3,3,9,0
"Fran Vieites","Betis","ESP","GK",NA,24,1,0,0,1,1,100,0,0,0,0,2,1
"Jonathan Viera","Las Palmas","ESP","MF","FW",33,6,3,50,9,9,11.1,0,0,0,0,1,0
"Jonathan Viera","Almería","ESP","MF",NA,33,19,9,47.3684210526316,19,19,52.6,4,0,4,4,1,0
"Asier Villalibre","Athletic Club","ESP","FW",NA,25,2,1,50,2,2,100,2,1,1,0,6,0
"Gonzalo Villar","Granada","ESP","MF",NA,25,51,33,64.7058823529412,41,41,63.4,32,10,22,6,26,1
"Iván Villar","Celta Vigo","ESP","GK",NA,26,0,0,NA,1,1,0,0,0,0,0,6,0
"Ricardo Visus","Betis","ESP","DF",NA,22,2,2,100,2,2,100,2,2,0,2,9,1
"Daniel Vivian","Athletic Club","ESP","DF",NA,24,42,28,66.6666666666667,45,45,62.2,49,25,24,31,104,0
"Shon Weissman","Granada","ISR","FW",NA,27,1,1,100,4,4,25,3,0,3,0,1,0
"Iñaki Williams","Athletic Club","GHA","FW",NA,29,24,17,70.8333333333333,34,34,38.2,42,8,34,14,29,0
"Nico Williams","Athletic Club","ESP","FW",NA,21,31,12,38.7096774193548,36,36,36.1,18,2,16,3,4,1
"Axel Witsel","Atlético Madrid","BEL","DF",NA,34,35,21,60,24,24,70.8,40,21,19,16,119,0
"Xeber","Alavés","ESP","FW","MF",26,5,5,100,7,7,42.9,2,1,1,1,2,0
"Antal Yaakobishvili","Girona","HUN","DF",NA,19,2,1,50,1,1,100,0,0,0,3,3,0
"Lamine Yamal","Barcelona","ESP","FW",NA,16,61,37,60.655737704918,48,48,37.5,32,0,32,19,11,0
"Roman Yaremchuk","Valencia","UKR","FW",NA,27,5,2,40,6,6,50,4,0,4,1,9,0
"Arsen Zakharyan","Real Sociedad","RUS","MF","FW",20,22,15,68.1818181818182,22,22,40.9,16,0,16,4,10,0
"Joseba Zaldúa","Cádiz","ESP","DF",NA,31,20,12,60,21,21,61.9,6,4,2,2,20,0
"Bryan Zaragoza","Granada","ESP","MF","FW",22,18,9,50,23,23,34.8,9,0,9,3,3,0
"Igor Zubeldia","Real Sociedad","ESP","DF",NA,26,32,25,78.125,26,26,73.1,28,19,9,32,97,3
"Martín Zubimendi","Real Sociedad","ESP","MF",NA,24,49,27,55.1020408163265,42,42,54.8,33,9,24,37,54,0
