"Player","Squad","Nation","Pos","Pos2","Age","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Youcef Atal","Nice","ALG","DF",NA,25,1,3,0,0,13,5,38.5,0.15,0.4,18.7,0,31,22,9,3,2,1
"Youcef Belaïli","Brest","ALG","MF","FW",29,2,5,1,0,16,6,37.5,0.19,0.5,15.9,2,36,18,18,4,3,1
"Youssouf Fofana","Monaco","FRA","MF",NA,22,4,4,0,0,30,6,20,0,0,26.4,2,53,43,10,8,7,1
"Youssouf Koné","Troyes","MLI","DF",NA,26,1,1,0,0,9,3,33.3,0,0,26.8,0,13,10,3,1,1,0
"Youssouph Badji","Brest","SEN","FW","MF",19,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,3,0,0,0,0
"Yunis Abdelhamid","Reims","MAR","DF",NA,33,0,2,0,0,18,6,33.3,0.11,0.33,18.3,0,22,17,5,1,1,0
"Yusuf Yazıcı","Lille","TUR","MF","FW",24,1,2,0,0,10,6,60,0.1,0.17,22.1,0,19,7,12,1,0,1
"Yvan Neyou","Saint-Étienne","CMR","MF",NA,24,0,0,0,0,6,2,33.3,0,0,30.7,1,19,15,4,0,0,0
"Yvann Macon","Saint-Étienne","FRA","DF",NA,22,0,0,0,0,15,4,26.7,0,0,26.5,0,27,23,4,3,2,1
"Zaydou Youssouf","Saint-Étienne","FRA","MF",NA,22,0,1,0,0,20,6,30,0.05,0.17,27.5,0,43,30,13,0,0,0
"Zeki Çelik","Lille","TUR","DF",NA,24,3,5,0,0,23,3,13,0.09,0.67,19.5,0,52,45,7,8,6,2
