"Player","Squad","Nation","Pos","Pos2","Age","Progression_Carries","Progression_Passes_Delivered","Progression_Passes_Recived","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Key_Passes","Passes_Into_Penalty_Area","Crosses_Into_Penalty_Area","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Antonin Bobichon","Angers","FRA","MF",NA,23,20,42,24,81,103,78.6,29,31,93.5,20,32,62.5,30,34,88.2,2,1,1,87,15,7,0,3,17,0,8,1,116,2,1,50,1,50
"Antonin Bobichon","Angers","FRA","MF",NA,23,20,42,24,81,103,78.6,29,31,93.5,20,32,62.5,30,34,88.2,2,1,1,87,15,7,0,3,17,0,8,1,371,8,5,62.5,3,37.5
"Antonin Bobichon","Nîmes","FRA","MF",NA,23,3,17,5,81,103,78.6,29,31,93.5,20,32,62.5,30,34,88.2,2,1,1,263,24,6,0,2,23,2,16,1,116,2,1,50,1,50
"Antonin Bobichon","Nîmes","FRA","MF",NA,23,3,17,5,81,103,78.6,29,31,93.5,20,32,62.5,30,34,88.2,2,1,1,263,24,6,0,2,23,2,16,1,371,8,5,62.5,3,37.5
"Antonin Bobichon","Nîmes","FRA","MF",NA,23,3,17,5,81,103,78.6,29,31,93.5,20,32,62.5,30,34,88.2,2,1,1,87,15,7,0,3,17,0,8,1,116,2,1,50,1,50
"Antonin Bobichon","Nîmes","FRA","MF",NA,23,3,17,5,81,103,78.6,29,31,93.5,20,32,62.5,30,34,88.2,2,1,1,87,15,7,0,3,17,0,8,1,371,8,5,62.5,3,37.5
"Antonin Bobichon","Nîmes","FRA","MF",NA,23,3,17,5,224,288,77.8,123,137,89.8,16,35,45.7,66,84,78.6,7,5,2,87,15,7,0,3,17,0,8,1,116,2,1,50,1,50
"Antonin Bobichon","Nîmes","FRA","MF",NA,23,3,17,5,224,288,77.8,123,137,89.8,16,35,45.7,66,84,78.6,7,5,2,87,15,7,0,3,17,0,8,1,371,8,5,62.5,3,37.5
"Antonin Bobichon","Angers","FRA","MF",NA,23,20,42,24,224,288,77.8,123,137,89.8,16,35,45.7,66,84,78.6,7,5,2,263,24,6,0,2,23,2,16,1,116,2,1,50,1,50
"Antonin Bobichon","Angers","FRA","MF",NA,23,20,42,24,224,288,77.8,123,137,89.8,16,35,45.7,66,84,78.6,7,5,2,263,24,6,0,2,23,2,16,1,371,8,5,62.5,3,37.5
"Antonin Bobichon","Angers","FRA","MF",NA,23,20,42,24,81,103,78.6,29,31,93.5,20,32,62.5,30,34,88.2,2,1,1,263,24,6,0,2,23,2,16,1,116,2,1,50,1,50
"Antonin Bobichon","Angers","FRA","MF",NA,23,20,42,24,81,103,78.6,29,31,93.5,20,32,62.5,30,34,88.2,2,1,1,263,24,6,0,2,23,2,16,1,371,8,5,62.5,3,37.5
"Antonin Bobichon","Angers","FRA","MF",NA,23,20,42,24,224,288,77.8,123,137,89.8,16,35,45.7,66,84,78.6,7,5,2,87,15,7,0,3,17,0,8,1,116,2,1,50,1,50
"Antonin Bobichon","Angers","FRA","MF",NA,23,20,42,24,224,288,77.8,123,137,89.8,16,35,45.7,66,84,78.6,7,5,2,87,15,7,0,3,17,0,8,1,371,8,5,62.5,3,37.5
"Arnaud Lusamba","Nice","COD","MF","FW",22,7,43,52,371,443,83.7,202,228,88.6,27,36,75,122,146,83.6,18,3,0,413,30,11,0,7,11,4,9,0,536,24,19,79.2,5,20.8
"Arnaud Nordin","Saint-Étienne","FRA","FW","MF",21,41,20,70,199,268,74.3,106,128,82.8,13,23,56.5,72,86,83.7,10,7,4,247,19,5,1,0,33,7,7,2,375,31,19,61.3,12,38.7
"Arnaud Souquet","Montpellier","FRA","DF","FW",27,44,82,137,808,1076,75.1,456,529,86.2,47,100,47,295,383,77,12,13,4,822,253,14,0,3,74,239,0,1,1338,51,23,45.1,28,54.9
"Arturo Calabresi","Amiens","ITA","DF",NA,23,20,68,23,723,1012,71.4,388,455,85.3,51,130,39.2,270,381,70.9,6,6,4,766,245,19,0,4,34,226,0,1,1252,40,22,55,18,45
"Assane Dioussé","Saint-Étienne","SEN","MF",NA,21,4,6,1,38,50,76,21,28,75,1,2,50,16,19,84.2,1,1,0,49,1,1,0,0,0,0,0,0,62,3,2,66.7,1,33.3
"Aurélien Chedjou","Amiens","CMR","DF",NA,34,11,82,0,826,1051,78.6,263,294,89.5,126,230,54.8,430,498,86.3,3,2,0,1005,43,40,1,16,0,3,0,3,1278,11,9,81.8,2,18.2
"Aurélien Tchouaméni","Bordeaux","FRA","MF",NA,19,9,88,6,589,696,84.6,260,298,87.2,39,53,73.6,281,313,89.8,6,1,0,22,2,2,0,0,0,0,0,0,32,1,0,0,1,100
"Aurélien Tchouaméni","Bordeaux","FRA","MF",NA,19,9,88,6,589,696,84.6,260,298,87.2,39,53,73.6,281,313,89.8,6,1,0,22,2,2,0,0,0,0,0,0,822,17,15,88.2,2,11.8
