"Player","Squad","Nation","Pos","Pos2","Age","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Jack Grealish","Aston Villa","ENG","FW","MF",24,10,16,0,0,50,17,34,0.12,0.35,17,2,169,121,48,20,17,3
"Jack Harrison","Leeds United","ENG","MF","FW",23,8,16,0,0,45,19,42.2,0.18,0.42,15.6,1,117,96,21,15,12,3
"Jack O'Connell","Sheffield Utd","ENG","DF",NA,26,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Jack Robinson","Sheffield Utd","ENG","DF",NA,26,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,9,6,3,4,2,2
"Jack Stephens","Southampton","ENG","DF",NA,26,0,0,0,0,6,2,33.3,0,0,9.2,0,17,16,1,0,0,0
"Jacob Murphy","Newcastle Utd","ENG","DF","MF",25,3,5,0,0,30,8,26.7,0.07,0.25,23.4,6,46,29,17,7,5,2
"Jacob Ramsey","Aston Villa","ENG","MF",NA,19,0,0,0,0,11,1,9.1,0,0,18.6,0,16,13,3,2,1,1
"Jaden Philogene Bidace","Aston Villa","ENG","FW",NA,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Jaïro Riedewald","Crystal Palace","NED","MF",NA,23,0,2,0,0,8,2,25,0.25,1,21,0,19,18,1,0,0,0
"Jake Livermore","West Brom","ENG","MF",NA,30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,9,8,1,1,1,0
"Jake Vokins","Southampton","ENG","DF",NA,20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Jakub Moder","Brighton","POL","DF","MF",21,0,0,0,0,13,3,23.1,0,0,17.9,0,12,9,3,1,1,0
"Jamaal Lascelles","Newcastle Utd","ENG","DF",NA,26,0,2,0,0,15,3,20,0.13,0.67,10.6,0,9,9,0,0,0,0
"Jamal Lewis","Newcastle Utd","NIR","DF",NA,22,1,1,0,0,3,1,33.3,0,0,18.6,0,29,25,4,2,2,0
"James Justin","Leicester City","ENG","DF",NA,22,1,3,0,0,10,3,30,0.2,0.67,14.8,0,61,46,15,8,5,3
