"Player","Squad","Nation","Pos","Pos2","Age","Progression_Carries","Progression_Passes_Delivered","Progression_Passes_Recived","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Key_Passes","Passes_Into_Penalty_Area","Crosses_Into_Penalty_Area","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Alessandro Deiola","Cagliari","ITA","MF",NA,24,5,14,9,117,156,75,51,57,89.5,16,29,55.2,45,55,81.8,8,0,0,146,10,4,0,4,8,1,5,0,310,1,1,100,0,0
"Alessandro Deiola","Cagliari","ITA","MF",NA,24,5,14,9,197,241,81.7,104,121,86,23,32,71.9,67,77,87,6,3,3,146,10,4,0,4,8,1,5,0,184,2,2,100,0,0
"Alessandro Deiola","Cagliari","ITA","MF",NA,24,5,14,9,197,241,81.7,104,121,86,23,32,71.9,67,77,87,6,3,3,146,10,4,0,4,8,1,5,0,310,1,1,100,0,0
"Alessandro Deiola","Spezia","ITA","MF",NA,24,3,12,16,117,156,75,51,57,89.5,16,29,55.2,45,55,81.8,8,0,0,146,10,4,0,4,8,1,5,0,184,2,2,100,0,0
"Alessandro Deiola","Spezia","ITA","MF",NA,24,3,12,16,117,156,75,51,57,89.5,16,29,55.2,45,55,81.8,8,0,0,146,10,4,0,4,8,1,5,0,310,1,1,100,0,0
"Alessandro Tripaldelli","Cagliari","ITA","DF",NA,21,6,10,13,75,116,64.7,34,43,79.1,7,9,77.8,31,53,58.5,1,0,0,82,34,0,0,0,9,34,0,0,168,7,1,14.3,6,85.7
"Alessandro Tuia","Benevento","ITA","DF",NA,30,4,44,2,626,809,77.4,189,214,88.3,91,173,52.6,340,396,85.9,3,3,0,732,72,29,1,7,3,42,0,5,1030,4,3,75,1,25
"Álex Berenguer","Torino","ESP","MF",NA,25,5,6,3,32,47,68.1,21,26,80.8,1,6,16.7,9,12,75,0,1,0,42,4,2,2,0,5,0,2,1,63,2,2,100,0,0
"Alex Cordaz","Crotone","ITA","GK",NA,37,0,1,0,1045,1441,72.5,263,266,98.9,330,699,47.2,447,467,95.7,1,0,0,1021,419,113,0,2,0,0,0,1,1529,1,1,100,0,0
"Alex Ferrari","Sampdoria","ITA","DF",NA,26,1,32,8,411,493,83.4,160,178,89.9,43,66,65.2,197,224,87.9,4,1,1,428,63,18,0,2,4,44,0,2,602,2,1,50,1,50
"Alex Sandro","Juventus","BRA","DF",NA,29,69,130,76,1208,1421,85,512,549,93.3,117,195,60,550,608,90.5,17,20,11,1290,128,24,0,13,60,103,0,3,1645,28,22,78.6,6,21.4
"Alexis Saelemaekers","Milan","BEL","FW",NA,21,43,59,169,679,860,79,417,482,86.5,21,51,41.2,190,233,81.5,30,23,9,844,15,2,1,2,47,9,4,1,1126,61,37,60.7,24,39.3
"Alexis Sánchez","Inter","CHI","FW",NA,31,28,62,89,398,515,77.3,194,231,84,56,75,74.7,118,154,76.6,33,30,3,472,37,13,6,7,28,0,15,6,664,36,24,66.7,12,33.3
"Alfred Duncan","Cagliari","GHA","MF",NA,27,16,73,24,67,90,74.4,31,38,81.6,12,16,75,23,31,74.2,1,0,0,584,13,10,1,5,12,3,0,1,706,27,18,66.7,9,33.3
"Alfred Duncan","Cagliari","GHA","MF",NA,27,16,73,24,67,90,74.4,31,38,81.6,12,16,75,23,31,74.2,1,0,0,584,13,10,1,5,12,3,0,1,105,1,1,100,0,0
"Alfred Duncan","Fiorentina","GHA","MF",NA,27,1,10,2,482,598,80.6,218,246,88.6,58,92,63,199,233,85.4,10,14,0,84,5,4,0,2,1,0,0,1,706,27,18,66.7,9,33.3
"Alfred Duncan","Fiorentina","GHA","MF",NA,27,1,10,2,482,598,80.6,218,246,88.6,58,92,63,199,233,85.4,10,14,0,84,5,4,0,2,1,0,0,1,105,1,1,100,0,0
"Alfred Duncan","Cagliari","GHA","MF",NA,27,16,73,24,482,598,80.6,218,246,88.6,58,92,63,199,233,85.4,10,14,0,584,13,10,1,5,12,3,0,1,706,27,18,66.7,9,33.3
"Alfred Duncan","Cagliari","GHA","MF",NA,27,16,73,24,482,598,80.6,218,246,88.6,58,92,63,199,233,85.4,10,14,0,584,13,10,1,5,12,3,0,1,105,1,1,100,0,0
"Alfred Duncan","Fiorentina","GHA","MF",NA,27,1,10,2,67,90,74.4,31,38,81.6,12,16,75,23,31,74.2,1,0,0,84,5,4,0,2,1,0,0,1,706,27,18,66.7,9,33.3
"Alfred Duncan","Fiorentina","GHA","MF",NA,27,1,10,2,67,90,74.4,31,38,81.6,12,16,75,23,31,74.2,1,0,0,84,5,4,0,2,1,0,0,1,105,1,1,100,0,0
"Alfred Duncan","Fiorentina","GHA","MF",NA,27,1,10,2,482,598,80.6,218,246,88.6,58,92,63,199,233,85.4,10,14,0,584,13,10,1,5,12,3,0,1,706,27,18,66.7,9,33.3
