"Player","Squad","Nation","Pos","Pos2","Age","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Niklas Süle","Bayern Munich","GER","DF",NA,24,32,21,65.625,21,21,61.9,24,12,12,21,36,1
"Ádám Szalai","Mainz 05","HUN","FW",NA,32,7,6,85.7142857142857,8,8,25,4,1,3,2,4,0
"Frederik Sørensen","Köln","DEN","DF",NA,28,2,1,50,1,1,100,2,0,2,0,0,0
"Alexander Sørloth","RB Leipzig","NOR","FW",NA,24,7,5,71.4285714285714,14,14,14.3,13,2,11,3,13,0
"Jonathan Tah","Leverkusen","GER","DF",NA,24,30,17,56.6666666666667,21,21,52.4,19,12,7,33,89,1
"Edmond Tapsoba","Leverkusen","BFA","DF",NA,21,54,28,51.8518518518519,45,45,46.7,55,29,26,48,96,0
"Niklas Tauer","Mainz 05","GER","MF","DF",19,1,1,100,2,2,50,3,1,2,3,1,0
"Lino Tempelmann","Freiburg","GER","MF",NA,21,5,3,60,4,4,0,6,1,5,2,6,0
"Cedric Teuchert","Union Berlin","GER","FW","MF",23,7,5,71.4285714285714,16,16,18.8,12,0,12,5,6,0
"Malick Thiaw","Schalke 04","GER","DF",NA,18,42,27,64.2857142857143,26,26,57.7,17,12,5,33,70,0
"Jan Thielmann","Köln","GER","FW","MF",18,11,6,54.5454545454545,9,9,55.6,10,1,9,9,2,0
"Erik Thommy","Stuttgart","GER","MF","DF",25,3,1,33.3333333333333,3,3,0,3,0,3,3,4,0
"Marcus Thuram","Gladbach","FRA","FW","MF",22,24,14,58.3333333333333,23,23,43.5,27,4,23,15,13,1
"Steffen Tigges","Dortmund","GER","FW","DF",22,4,4,100,3,3,66.7,1,0,1,0,1,0
"Guus Til","Freiburg","NED","FW",NA,22,4,3,75,3,3,66.7,2,0,2,2,2,0
"Corentin Tolisso","Bayern Munich","FRA","MF",NA,25,19,19,100,29,29,31,15,2,13,6,8,0
"Ömer Toprak","Werder Bremen","TUR","DF",NA,31,23,16,69.5652173913043,24,24,50,27,16,11,36,115,1
"Jordan Torunarigha","Hertha BSC","GER","DF",NA,22,7,4,57.1428571428571,8,8,62.5,8,2,6,15,54,1
"Almamy Touré","Eint Frankfurt","MLI","DF",NA,24,18,12,66.6666666666667,14,14,71.4,5,1,4,8,22,0
"Lucas Tousart","Hertha BSC","FRA","MF",NA,23,33,18,54.5454545454545,27,27,48.1,33,6,27,40,52,0
"Kevin Trapp","Eint Frankfurt","GER","GK",NA,30,0,0,NA,1,1,0,1,0,1,3,11,3
"Christopher Trimmel","Union Berlin","AUT","DF","FW",33,50,25,50,54,54,51.9,32,7,25,50,99,0
"Tuta","Eint Frankfurt","BRA","DF",NA,21,35,20,57.1428571428571,43,43,55.8,19,2,17,29,53,0
"Dayot Upamecano","RB Leipzig","FRA","DF",NA,21,37,30,81.0810810810811,20,20,70,25,14,11,33,74,2
"Mark Uth","Schalke 04","GER","FW","MF",28,25,13,52,23,23,21.7,21,0,21,5,10,0
"Ruben Vargas","Augsburg","SUI","MF","FW",21,18,12,66.6666666666667,16,16,6.3,26,2,24,18,27,0
"Miloš Veljković","Werder Bremen","SRB","DF",NA,24,24,14,58.3333333333333,31,31,48.4,22,9,13,29,94,1
"Michel Vlap","Arminia","NED","MF","FW",23,1,1,100,8,8,0,4,0,4,5,3,0
"Andreas Voglsammer","Arminia","GER","FW","MF",28,12,8,66.6666666666667,17,17,47.1,11,0,11,3,11,0
"Kevin Vogt","Hoffenheim","GER","DF",NA,28,18,12,66.6666666666667,21,21,57.1,21,12,9,16,71,0
"Wout Weghorst","Wolfsburg","NED","FW",NA,27,13,8,61.5384615384615,20,20,20,17,3,14,4,26,0
"Mitchell Weiser","Leverkusen","GER","DF",NA,26,4,1,25,4,4,50,1,0,1,3,4,0
"Wendell","Leverkusen","BRA","DF",NA,27,53,35,66.0377358490566,49,49,46.9,26,3,23,25,39,1
"Oscar Wendt","Gladbach","SWE","DF",NA,34,12,6,50,12,12,33.3,18,4,14,14,23,0
"William","Schalke 04","BRA","DF","FW",25,14,10,71.4285714285714,15,15,33.3,16,5,11,11,15,1
"Florian Wirtz","Leverkusen","GER","MF",NA,17,35,18,51.4285714285714,37,37,29.7,27,1,26,9,8,0
"Axel Witsel","Dortmund","BEL","MF",NA,31,18,12,66.6666666666667,16,16,50,13,3,10,22,13,0
"Hannes Wolf","Gladbach","AUT","MF","FW",21,26,13,50,36,36,22.2,18,1,17,9,4,0
"Marius Wolf","Köln","GER","MF","DF",25,35,19,54.2857142857143,38,38,34.2,29,3,26,28,47,1
"Nick Woltemade","Werder Bremen","GER","MF","FW",18,3,2,66.6666666666667,4,4,50,1,0,1,0,0,0
"Jeong Woo-yeong","Freiburg","KOR","FW","MF",20,9,5,55.5555555555556,11,11,18.2,8,1,7,11,11,0
"Reinhold Yabo","Arminia","GER","MF","FW",28,5,2,40,9,9,22.2,6,1,5,4,1,0
"Amin Younes","Eint Frankfurt","GER","MF",NA,26,25,14,56,32,32,18.8,19,1,18,13,4,0
"Denis Zakaria","Gladbach","SUI","MF","DF",23,30,15,50,20,20,55,20,7,13,23,29,1
"Deyovaisio Zeefuik","Hertha BSC","NED","DF","FW",22,13,9,69.2307692307692,19,19,42.1,15,3,12,12,36,0
"Robin Zentner","Mainz 05","GER","GK",NA,25,1,1,100,3,3,33.3,0,0,0,3,9,2
"Joshua Zirkzee","Bayern Munich","NED","FW",NA,19,1,0,0,2,2,50,0,0,0,0,0,0
"Steven Zuber","Eint Frankfurt","SUI","DF","MF",28,24,12,50,16,16,50,4,1,3,4,1,0
