"Player","Squad","Nation","Pos","Pos2","Age","Born","Total_Match_Played","Total_Playing_Time","Minutes_Per_Match_Played","Percent_of_Squad_Minutes_Played","Matches_Started","Minutes_Per_Match_Start","Complete_Matches_PLayed","Matches_Played_As_Substitute","Minutes_Per_Match_Substitute","Player_Points_Per_Match","Player_On_Pitch_Squad_Goals","Player_On_Pitch_Goals_Allowed","Weekly_Wages","Annual_Wages"
"Dani Ceballos","Real Madrid","ESP","MF",NA,25,1996,30,1564,52,45.7,19,74,5,11,15,2.17,26,14,60192,3130000
"Dani García","Athletic Club","ESP","MF",NA,32,1990,25,1485,59,43.4,18,77,6,7,15,1.44,24,19,53269,2770000
"Dani Rodríguez","Mallorca","ESP","MF",NA,34,1988,35,2100,60,61.4,26,73,3,9,24,1.23,23,26,8462,440000
"Daniel Vivian","Athletic Club","ESP","DF",NA,23,1999,29,2376,82,69.5,26,90,25,3,12,1.31,28,24,21154,1100000
"Darko Brašanac","Osasuna","SRB","MF",NA,30,1992,25,1041,42,30.4,9,74,3,16,23,1.36,11,14,14808,770000
"Darwin Machís","Valladolid","VEN","FW",NA,29,1993,11,599,54,17.5,7,73,2,4,22,1.73,5,3,27885,1450000
"David Alaba","Real Madrid","AUT","DF",NA,30,1992,23,1838,80,53.7,21,86,16,2,19,2.3,49,18,432692,22500000
"David García","Osasuna","ESP","DF",NA,28,1994,32,2680,84,78.4,31,86,27,1,16,1.56,32,35,11923,620000
"David López","Girona","ESP","DF",NA,32,1989,20,1652,83,48.3,19,85,14,1,45,1.15,26,24,68462,3560000
"David Silva","Real Sociedad","ESP","MF",NA,36,1986,28,1937,69,56.6,25,73,1,3,35,2.11,37,21,101923,5300000
"Denis Suárez","Espanyol","ESP","MF","FW",28,1994,18,945,53,27.6,11,70,2,7,25,0.94,16,23,84231,4380000
"Dennis Hadzikadunic","Mallorca","BIH","DF",NA,24,1998,8,614,77,18,7,84,5,1,24,1.38,9,12,15000,780000
"Diego González","Elche","ESP","DF",NA,27,1995,16,958,60,28,8,85,5,8,35,0.5,8,23,2981,155000
"Diego López","Valencia","ESP","FW","MF",20,2002,10,447,45,13.1,5,68,0,5,22,1.5,6,6,9615,5e+05
"Diego López","Rayo Vallecano","ESP","GK",NA,40,1981,2,96,48,2.8,1,90,1,1,6,0,1,4,9615,5e+05
"Diego Rico","Real Sociedad","ESP","DF",NA,29,1993,20,1646,82,48.1,18,85,15,2,54,1.9,25,14,23077,1200000
"Dimitri Foulquier","Valencia","FRA","DF",NA,29,1993,30,1738,58,50.8,17,88,15,13,19,1.17,17,24,35962,1870000
"Domingos André Ribeiro Almeida","Valencia","POR","MF",NA,22,2000,34,2539,75,74.2,29,84,14,5,23,1.15,30,32,11538,6e+05
"Domingos Duarte","Getafe","POR","DF",NA,27,1995,31,2657,86,77.7,30,88,28,1,13,0.94,26,40,20769,1080000
"Domingos Quina","Elche","POR","MF",NA,22,1999,10,275,28,8,2,73,1,8,16,0.3,2,8,10000,520000
"Dyego Sousa","Almería","POR","FW",NA,32,1989,20,527,26,15.4,3,65,0,17,20,0.7,4,6,20000,1040000
"Eden Hazard","Real Madrid","BEL","FW",NA,31,1991,6,196,33,5.7,2,59,0,4,20,3,5,1,600962,31250000
"Éder Militão","Real Madrid","BRA","DF",NA,24,1998,33,2703,82,79,30,88,28,3,22,2,60,29,140192,7290000
"Édgar González","Betis","ESP","DF",NA,25,1997,25,1772,71,51.8,18,88,16,7,27,1.72,28,20,23077,1200000
"Edinson Cavani","Valencia","URU","FW",NA,35,1987,25,1449,58,42.4,20,69,4,5,14,0.88,18,15,80192,4170000
"Edu Expósito","Espanyol","ESP","MF",NA,25,1996,28,1160,41,33.9,13,65,0,15,21,0.89,21,26,23077,1200000
"Eduardo Camavinga","Real Madrid","FRA","MF","DF",19,2002,37,2010,54,58.8,21,78,11,16,23,2.11,51,16,160192,8330000
"El Bilal Touré","Almería","MLI","FW",NA,20,2001,21,1264,60,37,15,73,1,6,27,1.1,23,23,5769,3e+05
"Enzo Roco","Elche","CHI","DF",NA,29,1992,22,1652,75,48.3,19,80,11,3,42,0.59,16,36,2981,155000
"Eray Cömert","Valencia","SUI","DF",NA,24,1998,23,1672,73,48.9,19,84,15,4,20,1.22,22,22,21154,1100000
"Eric García","Barcelona","ESP","DF","MF",21,2001,24,1417,59,41.4,15,79,10,9,25,2,30,10,115385,6e+06
"Érik Lamela","Sevilla","ARG","FW","MF",30,1992,32,1844,58,53.9,20,77,9,12,25,1.22,22,29,63462,3300000
"Étienne Capoue","Villarreal","FRA","MF",NA,34,1988,28,1955,70,57.2,22,82,12,6,25,1.5,33,26,36538,1900000
"Ezequiel Ávila","Osasuna","ARG","FW","MF",28,1994,29,1709,59,50,23,68,1,6,23,1.31,18,17,28846,1500000
"Fabrizio Angileri","Getafe","ARG","DF",NA,28,1994,15,585,39,17.1,7,70,2,8,12,1.13,7,15,11538,6e+05
"Fali","Cádiz","ESP","DF","MF",28,1993,25,1714,69,50.1,22,73,11,3,33,1.16,17,25,9615,5e+05
"Fede San Emeterio","Cádiz","ESP","MF",NA,25,1997,33,1844,56,53.9,24,69,3,9,22,1.18,16,23,13846,720000
"Federico Valverde","Real Madrid","URU","MF","FW",24,1998,34,2502,74,73.2,29,82,17,5,26,2.09,51,25,156346,8130000
"Felipe","Atlético Madrid","BRA","DF",NA,33,1989,3,194,65,5.7,2,90,2,1,14,0.33,1,3,145385,7560000
"Ferland Mendy","Real Madrid","FRA","DF",NA,27,1995,18,1351,75,39.5,17,78,6,1,29,2.11,26,17,200385,10420000
"Fernando","Sevilla","BRA","MF","DF",35,1987,22,1577,72,46.1,19,81,11,3,14,1.5,28,21,4615,240000
"Fernando","Sevilla","BRA","MF","DF",35,1987,22,1577,72,46.1,19,81,11,3,14,1.5,28,21,53846,2800000
"Fernando Calero","Espanyol","ESP","DF","MF",26,1995,27,1611,60,47.1,20,73,7,7,23,1.07,21,29,10000,520000
"Ferrán Torres","Barcelona","ESP","FW","MF",22,2000,33,1392,42,40.7,14,72,5,19,20,2.27,25,11,192308,1e+07
"Fidel","Elche","ESP","MF","FW",32,1989,27,1714,63,50.1,21,73,4,6,30,0.81,14,29,11923,620000
"Fran Beltrán","Celta Vigo","ESP","MF",NA,23,1999,36,2855,79,83.5,33,84,22,3,28,1.17,35,44,17308,9e+05
"Francis Coquelin","Villarreal","FRA","MF",NA,31,1991,16,748,47,21.9,9,68,1,7,19,1.38,10,6,71923,3740000
"Francisco Portillo","Almería","ESP","MF","FW",32,1990,27,722,27,21.1,4,69,1,23,19,0.85,10,16,16346,850000
"Franck Kessié","Barcelona","CIV","MF",NA,25,1996,28,990,35,28.9,7,66,1,21,25,2.14,16,7,173077,9e+06
"Franco Cervi","Celta Vigo","ARG","MF","DF",28,1994,36,1894,53,55.4,21,76,6,15,21,1.11,19,37,48077,2500000
"Franco Russo","Mallorca","ARG","DF",NA,27,1994,3,145,48,4.2,2,72,0,1,1,1,0,2,12500,650000
"Frenkie de Jong","Barcelona","NED","MF",NA,25,1997,33,2534,77,74.1,29,83,20,4,29,2.33,56,20,721154,37500000
"Gabriel Paulista","Valencia","BRA","DF",NA,31,1990,21,1504,72,44,18,82,13,3,9,1.24,20,24,102500,5330000
"Gabriel Veiga","Celta Vigo","ESP","MF",NA,20,2002,36,2294,64,67.1,28,74,3,8,26,1.17,29,30,3462,180000
"Gastón Álvarez","Getafe","URU","DF",NA,22,2000,22,1501,68,43.9,16,86,10,6,22,1.41,17,15,34615,1800000
"Gavi","Barcelona","ESP","MF","FW",17,2004,36,2531,70,74,30,78,13,6,33,2.36,52,11,130769,6800000
"Geoffrey Kondogbia","Atlético Madrid","CTA","MF",NA,29,1993,20,1006,50,29.4,10,82,6,10,19,2.1,15,11,132692,6900000
"Gerard Gumbau","Elche","ESP","MF",NA,27,1994,35,2737,78,80,31,84,20,4,36,0.69,24,54,4038,210000
"Gerard Moreno","Villarreal","ESP","FW",NA,30,1992,21,1230,59,36,14,78,7,7,19,2.05,21,9,69615,3620000
"Gerard Piqué","Barcelona","ESP","DF",NA,35,1987,6,384,64,11.2,4,89,3,2,15,3,9,1,567308,29500000
"Germán Pezzella","Betis","ARG","DF",NA,31,1991,31,2511,81,73.4,29,83,22,2,48,1.52,33,28,48077,2500000
"Giovani Lo Celso","Villarreal","ARG","MF","FW",26,1996,22,1126,51,32.9,14,69,2,8,21,1.73,21,12,79231,4120000
"Giovanni González","Mallorca","URU","DF",NA,27,1994,15,926,62,27.1,9,87,7,6,24,1.56,13,8,15385,8e+05
"Gonçalo Paciência","Celta Vigo","POR","FW","MF",27,1994,25,662,26,19.4,5,61,0,20,18,0.92,7,7,15000,780000
"Gonzalo Escalante","Cádiz","ARG","MF",NA,29,1993,14,1121,80,32.8,13,83,8,1,45,1.57,13,13,56154,2920000
"Gonzalo Melero","Almería","ESP","MF",NA,28,1994,27,1855,69,54.2,24,74,1,3,30,1.26,34,28,10385,540000
"Gonzalo Montiel","Sevilla","ARG","DF",NA,25,1997,28,1524,54,44.6,17,74,8,11,24,1.25,18,28,26538,1380000
"Gonzalo Plata","Valladolid","ECU","FW",NA,21,2000,34,2302,68,67.3,26,79,11,8,32,1.12,26,37,9231,480000
