"Player","Squad","Nation","Pos","Pos2","Age","Progression_Carries","Progression_Passes_Delivered","Progression_Passes_Recived","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Key_Passes","Passes_Into_Penalty_Area","Crosses_Into_Penalty_Area","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Scott McTominay","Manchester Utd","SCO","MF",NA,24,40,125,37,1060,1254,84.5,492,561,87.7,108,134,80.6,427,482,88.6,23,9,2,1216,32,30,1,14,13,2,0,6,1585,47,36,76.6,11,23.4
"Séamus Coleman","Everton","IRL","DF",NA,32,40,96,77,914,1255,72.8,497,569,87.3,76,168,45.2,316,447,70.7,13,26,13,981,269,11,0,5,41,258,0,5,1549,49,34,69.4,15,30.6
"Sean Longstaff","Newcastle Utd","ENG","MF",NA,23,2,43,15,481,604,79.6,229,271,84.5,52,89,58.4,177,200,88.5,7,4,0,571,31,14,1,12,11,1,1,2,775,11,6,54.5,5,45.5
"Sergi Canós","Brentford","ESP","DF","FW",24,52,59,100,449,774,58,253,316,80.1,38,134,28.4,140,235,59.6,17,24,9,726,46,10,5,3,87,17,17,2,1070,50,23,46,27,54
"Sergio Reguilón","Tottenham","ESP","DF","MF",24,63,50,144,750,994,75.5,394,453,87,54,99,54.5,271,355,76.3,29,31,21,831,159,14,1,10,84,135,10,4,1239,46,19,41.3,27,58.7
"Shandon Baptiste","Brentford","GRN","MF",NA,23,14,35,29,257,308,83.4,140,156,89.7,17,30,56.7,85,99,85.9,9,6,1,305,3,1,0,0,8,2,0,0,418,28,19,67.9,9,32.1
"Shane Duffy","Brighton","IRL","DF",NA,29,3,41,3,906,1039,87.2,249,277,89.9,117,177,66.1,535,572,93.5,4,1,0,1018,20,12,0,10,1,8,0,1,1218,1,1,100,0,0
"Shane Long","Southampton","IRL","FW",NA,34,5,3,24,43,72,59.7,32,46,69.6,0,1,0,5,11,45.5,2,1,0,72,0,0,0,0,1,0,0,0,129,4,1,25,3,75
"Solly March","Brighton","ENG","DF","FW",27,71,69,148,556,771,72.1,291,348,83.6,67,115,58.3,178,245,72.7,35,33,8,683,88,14,1,13,94,39,34,0,961,38,23,60.5,15,39.5
"Son Heung-min","Tottenham","KOR","MF","FW",29,116,90,242,928,1219,76.1,569,623,91.3,48,151,31.8,239,316,75.6,72,42,4,1007,207,37,2,3,192,7,157,5,1545,92,51,55.4,40,43.5
"Steven Alzate","Brighton","COL","MF",NA,22,3,21,6,204,233,87.6,105,116,90.5,17,24,70.8,72,78,92.3,2,1,0,230,3,2,1,0,0,1,0,0,292,8,6,75,2,25
"Steven Bergwijn","Tottenham","NED","FW","MF",23,26,17,53,144,177,81.4,98,113,86.7,4,7,57.1,30,38,78.9,8,6,0,171,6,1,1,0,8,4,1,0,258,20,10,50,10,50
"Stuart Armstrong","Southampton","SCO","MF",NA,29,63,83,78,590,744,79.3,321,386,83.2,25,42,59.5,217,250,86.8,25,23,4,701,40,3,3,2,35,8,2,3,946,54,27,50,27,50
"Stuart Dallas","Leeds United","NIR","DF","MF",30,82,170,79,1306,1685,77.5,730,812,89.9,99,227,43.6,440,539,81.6,31,24,5,1355,322,45,7,9,101,224,53,8,2056,43,29,67.4,14,32.6
"Takehiro Tomiyasu","Arsenal","JPN","DF",NA,22,32,96,41,888,1098,80.9,441,497,88.7,57,107,53.3,375,449,83.5,13,17,12,936,158,16,1,6,31,142,0,4,1310,15,9,60,6,40
"Takumi Minamino","Liverpool","JPN","FW","MF",26,2,5,15,58,69,84.1,42,45,93.3,2,2,100,10,15,66.7,2,3,0,68,0,0,1,0,0,0,0,1,93,5,1,20,4,80
"Tanguy Ndombele","Tottenham","FRA","MF",NA,24,14,21,25,230,267,86.1,124,136,91.2,10,13,76.9,78,90,86.7,4,3,0,258,9,2,7,0,3,0,0,0,339,20,11,55,9,45
"Tariq Lamptey","Brighton","GHA","DF","FW",20,81,36,153,593,770,77,373,416,89.7,19,50,38,186,252,73.8,21,24,15,703,65,4,2,2,93,61,0,2,1008,61,29,47.5,32,52.5
"Taylor Richards","Brighton","ENG","MF",NA,20,1,3,7,21,27,77.8,11,14,78.6,2,2,100,8,9,88.9,1,0,0,27,0,0,0,0,0,0,0,0,32,1,0,0,1,100
"Teemu Pukki","Norwich City","FIN","FW",NA,31,62,34,186,399,540,73.9,257,308,83.4,19,27,70.4,94,124,75.8,27,6,1,444,95,0,2,2,13,2,0,1,816,60,27,45,33,55
"Theo Walcott","Southampton","ENG","MF","FW",32,3,5,19,59,87,67.8,36,43,83.7,3,4,75,15,27,55.6,1,1,0,86,1,0,0,0,5,1,0,0,125,3,1,33.3,2,66.7
"Thiago Alcántara","Liverpool","ESP","MF",NA,30,24,214,45,1340,1508,88.9,573,624,91.8,150,190,78.9,594,640,92.8,29,26,1,1488,18,10,4,17,4,4,1,2,1700,32,20,62.5,12,37.5
"Thiago Silva","Chelsea","BRA","DF",NA,36,14,145,2,2436,2634,92.5,911,953,95.6,237,319,74.3,1243,1292,96.2,7,18,1,2565,62,55,1,4,2,3,0,7,2902,7,6,85.7,1,14.3
"Thomas Partey","Arsenal","GHA","MF",NA,28,20,119,11,1032,1214,85,452,501,90.2,114,158,72.2,453,511,88.6,17,12,0,1186,24,22,9,12,3,2,0,4,1447,43,35,81.4,8,18.6
"Timo Werner","Chelsea","GER","FW","MF",25,46,18,144,297,402,73.9,197,230,85.7,8,16,50,69,92,75,8,9,1,386,14,1,3,1,23,5,1,2,550,33,10,30.3,23,69.7
"Timothy Castagne","Leicester City","BEL","DF",NA,25,32,72,115,1077,1330,81,611,694,88,56,101,55.4,393,467,84.2,15,14,8,1132,195,10,0,1,40,185,0,3,1600,19,6,31.6,13,68.4
"Todd Cantwell","Norwich City","ENG","FW","MF",23,2,10,17,130,157,82.8,84,93,90.3,5,10,50,35,43,81.4,2,2,0,148,9,5,4,1,3,3,0,0,205,10,5,50,5,50
"Tom Cleverley","Watford","ENG","MF",NA,31,8,64,40,479,658,72.8,239,280,85.4,40,109,36.7,169,212,79.7,20,8,5,569,87,27,1,3,54,6,32,2,803,6,3,50,3,50
"Tom Davies","Everton","ENG","MF",NA,23,1,7,3,60,82,73.2,35,38,92.1,2,6,33.3,18,24,75,0,1,0,81,0,0,1,0,0,0,0,1,124,3,2,66.7,1,33.3
"Tomáš Souček","West Ham","CZE","MF",NA,26,36,141,54,1036,1361,76.1,510,638,79.9,91,134,67.9,403,495,81.4,21,12,2,1337,24,20,0,21,13,4,0,0,1759,16,10,62.5,6,37.5
"Tony Springett","Norwich City","IRL","MF","FW",18,8,2,11,25,38,65.8,16,22,72.7,0,2,0,9,10,90,2,1,1,38,0,0,0,0,2,0,0,0,52,2,1,50,1,50
"Toti Gomes","Wolves","POR","DF",NA,22,2,7,2,153,203,75.4,75,91,82.4,8,27,29.6,67,79,84.8,0,0,0,200,3,2,0,0,1,1,0,0,255,6,5,83.3,1,16.7
"Trent Alexander-Arnold","Liverpool","ENG","DF",NA,22,53,267,201,2039,2757,74,841,964,87.2,344,636,54.1,811,1048,77.4,90,85,25,2204,548,93,17,69,273,324,131,5,3036,39,19,48.7,20,51.3
"Trevoh Chalobah","Chelsea","ENG","DF",NA,22,24,88,14,1158,1283,90.3,564,607,92.9,60,94,63.8,517,548,94.3,4,6,0,1246,36,27,3,3,4,9,0,1,1442,12,10,83.3,2,16.7
"Trézéguet","Aston Villa","EGY","FW",NA,26,0,1,4,6,6,100,4,4,100,1,1,100,1,1,100,0,0,0,6,0,0,0,0,0,0,0,0,10,1,1,100,0,0
"Tyler Roberts","Leeds United","WAL","MF","FW",22,17,29,63,214,300,71.3,124,154,80.5,13,29,44.8,61,81,75.3,15,10,2,283,16,2,1,1,14,5,0,1,430,22,12,54.5,10,45.5
"Tyrick Mitchell","Crystal Palace","ENG","DF",NA,21,41,134,116,1393,1930,72.2,745,864,86.2,84,236,35.6,526,700,75.1,21,33,15,1522,400,29,1,0,62,367,4,8,2320,29,16,55.2,13,44.8
