"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Hwang Hee-chan","Wolves","KOR","FW","MF",25,2,0,0,0,29
"Jordan Henderson","Liverpool","ENG","MF",NA,31,3,0,0,0,23
"Jeff Hendrick","Newcastle Utd","IRL","MF",NA,29,0,0,0,0,1
"Wayne Hennessey","Burnley","WAL","GK",NA,34,0,0,0,0,0
"Rico Henry","Brentford","ENG","DF",NA,24,2,0,0,0,20
"Son Heung-min","Tottenham","KOR","MF","FW",29,2,0,0,0,14
"Ki-Jana Hoever","Wolves","NED","DF","MF",19,1,0,0,0,5
"Rob Holding","Arsenal","ENG","DF",NA,25,4,1,1,2,9
"Mason Holgate","Everton","ENG","DF",NA,24,7,1,0,1,26
"Callum Hudson-Odoi","Chelsea","ENG","MF","FW",20,1,0,0,0,10
"Will Hughes","Crystal Palace","ENG","MF",NA,26,6,0,0,0,18
"Pierre Højbjerg","Tottenham","DEN","MF",NA,25,3,0,0,0,28
"Adam Idah","Norwich City","IRL","FW","MF",20,0,0,0,0,7
"Kelechi Iheanacho","Leicester City","NGA","FW",NA,24,1,0,0,0,17
"Danny Ings","Aston Villa","ENG","FW",NA,29,4,0,0,0,16
"Tim Iroegbunam","Aston Villa","ENG","MF",NA,18,1,0,0,0,2
"Alex Iwobi","Everton","NGA","MF","DF",25,1,0,0,0,16
"Daniel James","Manchester Utd","WAL","FW",NA,23,0,0,0,0,1
"Daniel James","Leeds United","WAL","FW","MF",23,7,1,0,1,30
"Reece James","Chelsea","ENG","DF",NA,21,4,1,0,1,20
"Vitaly Janelt","Brentford","GER","MF",NA,23,3,0,0,0,26
"Pontus Jansson","Brentford","SWE","DF",NA,30,7,0,0,0,15
"Mathias Jensen","Brentford","DEN","MF",NA,25,0,0,0,0,19
"Gabriel Jesus","Manchester City","BRA","FW",NA,24,1,0,0,0,26
"Raúl Jiménez","Wolves","MEX","FW",NA,30,9,2,2,4,43
"João Pedro","Watford","BRA","FW","MF",19,1,0,0,0,13
"Joelinton","Newcastle Utd","BRA","MF","FW",24,8,0,0,0,64
"Ben Johnson","West Ham","ENG","DF",NA,21,1,0,0,0,10
"Curtis Jones","Liverpool","ENG","MF",NA,20,0,0,0,0,11
"Phil Jones","Manchester Utd","ENG","DF",NA,29,0,0,0,0,0
"Jorginho","Chelsea","ITA","MF",NA,29,5,0,0,0,30
"Diogo Jota","Liverpool","POR","FW",NA,24,3,0,0,0,41
"James Justin","Leicester City","ENG","DF",NA,23,0,0,0,0,7
"Mathias Jørgensen","Brentford","DEN","DF",NA,31,2,0,0,0,10
"Ozan Kabak","Norwich City","TUR","DF",NA,21,2,0,0,0,10
"Christian Kabasele","Watford","BEL","DF",NA,30,0,0,0,0,5
"Samuel Kalu","Watford","NGA","FW",NA,23,0,0,0,0,0
"Hassane Kamara","Watford","CIV","DF",NA,27,5,1,1,2,24
"Harry Kane","Tottenham","ENG","FW",NA,28,5,0,0,0,42
"N'Golo Kanté","Chelsea","FRA","MF",NA,30,2,0,0,0,22
"Edo Kayembe","Watford","COD","MF",NA,23,0,0,0,0,4
"Michael Keane","Everton","ENG","DF",NA,28,4,1,1,2,16
"Naby Keïta","Liverpool","GUI","MF",NA,26,3,0,0,0,21
"Caoimhín Kelleher","Liverpool","IRL","GK",NA,22,0,0,0,0,0
"Kenedy","Chelsea","BRA","DF",NA,25,0,0,0,0,0
"Jonjoe Kenny","Everton","ENG","DF",NA,24,3,1,1,2,9
"Max Kilman","Wolves","ENG","DF",NA,24,3,0,0,0,17
"Joshua King","Watford","NOR","FW",NA,29,5,0,0,0,43
"Kristoffer Klaesson","Leeds United","NOR","GK",NA,20,0,0,0,0,0
"Mateusz Klich","Leeds United","POL","MF",NA,31,5,0,0,0,40
"Robin Koch","Leeds United","GER","MF","DF",25,3,0,0,0,22
"Ibrahima Konaté","Liverpool","FRA","DF",NA,22,2,0,0,0,10
"Ezri Konsa","Aston Villa","ENG","DF",NA,23,6,2,1,3,18
"Cheikhou Kouyaté","Crystal Palace","SEN","MF",NA,31,3,0,0,0,30
"Mateo Kovačić","Chelsea","CRO","MF",NA,27,4,0,0,0,24
"Emil Krafth","Newcastle Utd","SWE","DF",NA,26,5,0,0,0,22
"Alex Král","West Ham","CZE","MF",NA,23,0,0,0,0,0
"Tim Krul","Norwich City","NED","GK",NA,33,1,0,0,0,0
"Juraj Kucka","Watford","SVK","MF",NA,34,5,1,1,2,46
"Dejan Kulusevski","Tottenham","SWE","MF","FW",21,3,0,0,0,20
"Alexandre Lacazette","Arsenal","FRA","FW",NA,30,0,0,0,0,32
"Adam Lallana","Brighton","ENG","MF",NA,33,4,0,0,0,11
"Tariq Lamptey","Brighton","GHA","DF","FW",20,4,0,0,0,27
"Manuel Lanzini","West Ham","ARG","MF","FW",28,2,0,0,0,11
"Aymeric Laporte","Manchester City","ESP","DF",NA,27,5,1,0,1,14
"Jamaal Lascelles","Newcastle Utd","ENG","DF",NA,27,5,0,0,0,17
"Pierre Lees-Melou","Norwich City","FRA","MF",NA,28,5,0,0,0,35
"Aaron Lennon","Burnley","ENG","MF","FW",34,2,0,0,0,19
"Bernd Leno","Arsenal","GER","GK",NA,29,0,0,0,0,0
"Jamal Lewis","Newcastle Utd","NIR","DF",NA,23,1,0,0,0,2
"Victor Lindelöf","Manchester Utd","SWE","DF",NA,27,4,0,0,0,19
"Jesse Lingard","Manchester Utd","ENG","FW","MF",28,1,0,0,0,5
"Valentino Livramento","Southampton","ENG","DF",NA,18,2,0,0,0,12
"Diego Llorente","Leeds United","ESP","DF",NA,27,7,0,0,0,23
"Hugo Lloris","Tottenham","FRA","GK",NA,34,2,0,0,0,0
"Giovani Lo Celso","Tottenham","ARG","MF","FW",25,0,0,0,0,2
"Ruben Loftus-Cheek","Chelsea","ENG","MF","DF",25,1,0,0,0,18
"Kevin Long","Burnley","IRL","DF",NA,30,1,0,0,0,4
"Shane Long","Southampton","IRL","FW",NA,34,1,0,0,0,9
"Sean Longstaff","Newcastle Utd","ENG","MF",NA,23,1,0,0,0,14
"Ademola Lookman","Leicester City","NGA","FW","MF",23,2,0,0,0,27
"Imran Louza","Watford","MAR","MF",NA,22,6,0,0,0,24
"Matthew Lowton","Burnley","ENG","DF",NA,32,3,1,0,1,13
"Douglas Luiz","Aston Villa","BRA","MF",NA,23,7,0,0,0,37
"Romelu Lukaku","Chelsea","BEL","FW",NA,28,1,0,0,0,8
"Lyanco","Southampton","BRA","DF",NA,24,2,0,0,0,13
"Alexis Mac Allister","Brighton","ARG","MF","FW",22,4,0,0,0,30
"James Maddison","Leicester City","ENG","MF","FW",24,3,0,0,0,22
"Gabriel Magalhães","Arsenal","BRA","DF",NA,23,8,1,1,2,23
"Harry Maguire","Manchester Utd","ENG","DF",NA,28,9,1,1,2,21
"Riyad Mahrez","Manchester City","ALG","FW",NA,30,0,0,0,0,10
"Ainsley Maitland-Niles","Arsenal","ENG","MF",NA,23,0,0,0,0,4
"Sadio Mané","Liverpool","SEN","FW",NA,29,5,0,0,0,50
"Javier Manquillo","Newcastle Utd","ESP","DF",NA,27,5,0,0,0,9
"Fernando Marçal","Wolves","BRA","MF","DF",32,3,0,0,0,29
"Solly March","Brighton","ENG","DF","FW",27,1,0,0,0,31
"Pablo Marí","Arsenal","ESP","DF",NA,27,1,0,0,0,1
"Anthony Martial","Manchester Utd","FRA","FW",NA,25,0,0,0,0,0
"Gabriel Martinelli","Arsenal","BRA","FW","MF",20,3,1,1,2,24
"Emiliano Martínez","Aston Villa","ARG","GK",NA,28,4,0,0,0,0
"Adam Masina","Watford","MAR","DF",NA,27,0,0,0,0,14
"Arthur Masuaku","West Ham","COD","DF","FW",27,1,0,0,0,8
"Jean-Philippe Mateta","Crystal Palace","FRA","FW",NA,24,2,0,0,0,16
"Nemanja Matić","Manchester Utd","SRB","MF",NA,32,3,0,0,0,26
"Joël Matip","Liverpool","CMR","DF",NA,29,2,0,0,0,13
"Neal Maupay","Brighton","FRA","FW",NA,24,7,0,0,0,33
"Bryan Mbeumo","Brentford","CMR","FW",NA,21,4,0,0,0,20
"James McArthur","Crystal Palace","SCO","MF",NA,33,4,0,0,0,24
"James Mcatee","Manchester City","ENG","MF","FW",18,0,0,0,0,1
"Alex McCarthy","Southampton","ENG","GK",NA,31,1,0,0,0,0
"John McGinn","Aston Villa","SCO","MF",NA,26,8,0,0,0,57
"Kenny McLean","Norwich City","SCO","MF",NA,29,3,0,0,0,16
"Dwight McNeil","Burnley","ENG","MF",NA,21,1,0,0,0,16
"Scott McTominay","Manchester Utd","SCO","MF",NA,24,9,0,0,0,55
"Ben Mee","Burnley","ENG","DF",NA,31,3,0,0,0,9
"Hannibal Mejbri","Manchester Utd","TUN","FW",NA,18,2,0,0,0,3
"Benjamin Mendy","Manchester City","FRA","DF",NA,27,0,0,0,0,2
"Edouard Mendy","Chelsea","SEN","GK",NA,29,3,0,0,0,1
"Nampalys Mendy","Leicester City","SEN","MF",NA,29,3,0,0,0,17
"Illan Meslier","Leeds United","FRA","GK",NA,21,2,0,0,0,0
"Luka Milivojević","Crystal Palace","SRB","MF",NA,30,1,0,0,0,15
"James Milner","Liverpool","ENG","MF","DF",35,2,0,0,0,17
"Yerry Mina","Everton","COL","DF",NA,26,3,0,0,0,5
"Takumi Minamino","Liverpool","JPN","FW","MF",26,1,0,0,0,4
"Tyrone Mings","Aston Villa","ENG","DF",NA,28,11,0,0,0,27
"Tyrick Mitchell","Crystal Palace","ENG","DF",NA,21,1,0,0,0,15
"Jakub Moder","Brighton","POL","MF",NA,22,1,0,0,0,19
"Wesley Moraes","Aston Villa","BRA","FW",NA,24,0,0,0,0,1
"Tyler Morton","Liverpool","ENG","MF",NA,18,1,0,0,0,1
"Mason Mount","Chelsea","ENG","MF",NA,22,4,0,0,0,30
"Lucas Moura","Tottenham","BRA","FW","MF",28,4,0,0,0,20
"João Moutinho","Wolves","POR","MF",NA,34,4,0,0,0,36
"Bali Mumba","Norwich City","ENG","DF",NA,19,0,0,0,0,0
"Jacob Murphy","Newcastle Utd","ENG","FW","DF",26,4,0,0,0,16
"Enock Mwepu","Brighton","ZAM","MF",NA,23,2,0,0,0,18
"Vitaliy Mykolenko","Everton","UKR","DF",NA,22,0,0,0,0,13
"Marvelous Nakamba","Aston Villa","ZIM","MF",NA,27,5,0,0,0,16
"Wilfred Ndidi","Leicester City","NGA","MF","DF",24,4,0,0,0,30
"Tanguy Ndombele","Tottenham","FRA","MF",NA,24,1,0,0,0,3
"Pedro Neto","Wolves","POR","FW","MF",21,3,0,0,0,2
"Rúben Neves","Wolves","POR","MF",NA,24,9,0,0,0,25
"Jeremy Ngakia","Watford","ENG","DF",NA,20,0,0,0,0,10
"Saúl Ñíguez","Chelsea","ESP","DF","MF",26,1,0,0,0,9
"Eddie Nketiah","Arsenal","ENG","FW",NA,22,3,0,0,0,17
"Nicolas Nkoulou","Watford","CMR","DF",NA,31,0,0,0,0,1
"Mark Noble","West Ham","ENG","MF",NA,34,0,0,0,0,3
"Mathias Normann","Norwich City","NOR","MF",NA,25,6,0,0,0,37
"Christian Nørgaard","Brentford","DEN","MF",NA,27,8,0,0,0,56
"Angelo Ogbonna","West Ham","ITA","DF",NA,33,1,0,0,0,5
"Michael Olise","Crystal Palace","FRA","FW","MF",19,4,0,0,0,16
"Andrew Omobamidele","Norwich City","IRL","DF",NA,19,1,0,0,0,3
"Tyler Onyango","Everton","ENG","MF",NA,18,0,0,0,0,0
"Frank Onyeka","Brentford","NGA","MF",NA,23,4,0,0,0,33
"Divock Origi","Liverpool","BEL","FW",NA,26,0,0,0,0,2
"Alex Oxlade-Chamberlain","Liverpool","ENG","MF","FW",27,0,0,0,0,10
"Cole Palmer","Manchester City","ENG","FW","MF",19,0,0,0,0,1
"Thomas Partey","Arsenal","GHA","MF",NA,28,6,0,0,0,33
"Nicolas Pépé","Arsenal","CIV","FW","MF",26,0,0,0,0,8
"Ricardo Pereira","Leicester City","POR","DF",NA,27,3,0,0,0,6
"Ayoze Pérez","Leicester City","ESP","MF","FW",28,0,1,0,1,6
"Sonny Perkins","West Ham","ENG","MF",NA,17,0,0,0,0,0
"Romain Perraud","Southampton","FRA","DF",NA,23,3,0,0,0,31
"Kalvin Phillips","Leeds United","ENG","MF",NA,25,4,0,0,0,33
"Jordan Pickford","Everton","ENG","GK",NA,27,2,0,0,0,0
"Erik Pieters","Burnley","NED","DF",NA,32,1,0,0,0,14
"Ethan Pinnock","Brentford","JAM","DF",NA,28,1,0,0,0,9
"Daniel Podence","Wolves","POR","FW","MF",25,2,0,0,0,8
