"Player","Squad","Nation","Pos","Pos2","Age","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Martin Terrier","Rennes","FRA","FW","MF",23,33,15,45.4545454545455,36,36,27.8,23,0,23,16,7,0
"Florian Thauvin","Marseille","FRA","FW","MF",27,40,22,55,54,54,37,26,2,24,14,11,0
"Sada Thioub","Angers","SEN","FW","MF",25,17,14,82.3529411764706,23,23,30.4,10,0,10,9,3,0
"Romain Thomas","Angers","FRA","DF",NA,32,47,25,53.1914893617021,35,35,57.1,35,20,15,50,138,0
"Adrien Thomasson","Strasbourg","FRA","MF","FW",26,36,17,47.2222222222222,58,58,20.7,44,5,39,22,2,0
"Khéphren Thuram","Nice","FRA","MF",NA,19,32,16,50,27,27,33.3,21,9,12,18,22,1
"Jean-Clair Todibo","Nice","FRA","DF",NA,20,25,15,60,31,31,51.6,13,7,6,19,48,1
"Karl Toko Ekambi","Lyon","CMR","FW",NA,27,16,10,62.5,32,32,25,20,1,19,26,8,0
"Abdoulaye Touré","Nantes","GUI","MF",NA,26,28,12,42.8571428571429,31,31,45.2,17,2,15,22,19,0
"Amadou Traore","Bordeaux","FRA","FW","MF",18,6,1,16.6666666666667,9,9,22.2,9,0,9,1,2,0
"Boubacar Traoré","Metz","MLI","MF",NA,18,3,2,66.6666666666667,1,1,100,1,0,1,0,0,0
"Charles Traore","Nantes","MLI","DF",NA,28,53,34,64.1509433962264,54,54,50,26,5,21,36,65,0
"Cheick Traoré","Lens","MLI","DF",NA,25,2,2,100,4,4,50,1,0,1,2,1,0
"Hamari Traoré","Rennes","MLI","DF",NA,28,56,38,67.8571428571429,59,59,37.3,31,5,26,76,50,0
"Ismaël Traoré","Angers","CIV","DF",NA,33,32,14,43.75,37,37,54.1,27,13,14,40,107,0
"Miguel Trauco","Saint-Étienne","PER","DF",NA,27,47,29,61.7021276595745,43,43,53.5,19,4,15,30,34,1
"Alexis Trouillet","Nice","FRA","MF","FW",19,5,4,80,5,5,80,0,0,0,3,0,0
"Adrien Truffert","Rennes","FRA","DF","MF",18,38,18,47.3684210526316,24,24,54.2,26,5,21,18,38,1
