"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Andrew Gravillon","Torino","GLP","DF",NA,24,2,0,0,0,9
"Axel Guessand","Udinese","FRA","DF",NA,17,0,0,0,0,1
"Koray Günter","Hellas Verona","GER","DF",NA,27,3,0,0,0,17
"Koray Günter","Sampdoria","GER","DF",NA,27,2,0,0,0,7
"Emmanuel Gyasi","Spezia","GHA","FW","DF",28,10,0,0,0,47
"Norbert Gyömbér","Salernitana","SVK","DF",NA,30,5,0,0,0,22
"Christian Gytkjær","Monza","DEN","FW","MF",32,0,0,0,0,11
"Nicolas Haas","Empoli","SUI","MF",NA,26,2,0,0,0,20
"Abdou Harroui","Sassuolo","NED","MF",NA,24,2,0,0,0,13
"Hans Hateboer","Atalanta","NED","DF",NA,28,7,0,0,0,19
"Liam Henderson","Empoli","SCO","MF",NA,26,9,0,0,0,35
"Jack Hendry","Cremonese","SCO","DF",NA,27,1,0,0,0,2
"Matheus Henrique","Sassuolo","BRA","MF",NA,24,4,0,0,0,22
"Thomas Henry","Hellas Verona","FRA","FW",NA,27,4,0,0,0,27
"Theo Hernández","Milan","FRA","DF",NA,24,7,0,0,0,22
"Isak Hien","Hellas Verona","SWE","DF",NA,23,9,0,0,0,52
"Morten Hjulmand","Lecce","DEN","MF",NA,23,9,1,0,1,61
"Emil Holm","Spezia","SWE","DF",NA,22,4,0,0,0,22
"Martin Hongla","Hellas Verona","CMR","MF",NA,24,4,0,0,0,11
"Petko Hristov","Spezia","BUL","DF",NA,23,0,0,0,0,1
"Ajdin Hrustic","Hellas Verona","AUS","MF",NA,26,0,0,0,0,7
"Elseid Hysaj","Lazio","ALB","DF",NA,28,3,0,0,0,19
"Rasmus Højlund","Atalanta","DEN","FW",NA,19,1,0,0,0,21
"Roger Ibanez","Roma","BRA","DF",NA,23,11,1,1,2,44
"Zlatan Ibrahimović","Milan","SWE","FW",NA,40,0,0,0,0,2
"Igor","Fiorentina","BRA","DF",NA,24,10,1,1,2,29
"Jonathan Ikone","Fiorentina","FRA","FW",NA,24,4,0,0,0,28
"Ivan Ilić","Hellas Verona","SRB","MF",NA,21,1,0,0,0,9
"Ivan Ilić","Torino","SRB","MF",NA,21,3,0,0,0,13
"Samuel Iling-Junior","Juventus","ENG","DF","FW",18,1,0,0,0,9
"Emirhan İlkhan","Torino","TUR","MF",NA,18,1,0,0,0,5
