"Player","Squad","Nation","Pos","Pos2","Age","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Bruno Amione","Hellas Verona","ARG","DF",NA,20,0,0,0,0,12,2,16.7,0.08,0.5,11.5,0,0,0,0,0,0,0
"Bruno Amione","Hellas Verona","ARG","DF",NA,20,0,0,0,0,12,2,16.7,0.08,0.5,11.5,0,12,6,6,2,1,1
"Bryan Cristante","Roma","ITA","MF","DF",27,1,2,1,0,28,5,17.9,0.04,0.2,16.8,0,42,37,5,7,5,2
"Caleb Okoli","Atalanta","ITA","DF",NA,21,0,0,0,0,7,2,28.6,0,0,12.2,0,2,1,1,1,1,0
"Carlos Augusto","Monza","BRA","DF",NA,23,5,11,0,0,42,16,38.1,0.14,0.38,15,0,56,45,11,9,8,1
"Charalambos Lykogiannis","Bologna","GRE","DF",NA,28,0,2,0,0,19,6,31.6,0.11,0.33,25.1,5,29,19,10,2,0,2
"Charles De Ketelaere","Milan","BEL","MF","FW",21,1,1,0,0,19,3,15.8,0,0,12.5,0,47,39,8,2,2,0
"Charles Pickel","Cremonese","COD","MF",NA,25,0,1,0,0,23,7,30.4,0.04,0.14,15.9,0,52,49,3,2,2,0
"Chris Smalling","Roma","ENG","DF",NA,32,1,4,0,0,17,4,23.5,0.18,0.75,8.5,0,16,14,2,1,1,0
"Christian Acella","Cremonese","ITA","MF",NA,20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Christian Gytkjær","Monza","DEN","FW","MF",32,0,1,1,0,12,5,41.7,0.08,0.2,12.8,1,9,7,2,2,1,1
"Christian Kouamé","Fiorentina","CIV","FW",NA,24,4,8,0,0,42,13,31,0.1,0.31,13.8,1,83,67,16,8,6,2
"Ciprian Tătărușanu","Milan","ROU","GK",NA,36,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,7,5,2,2,2,0
"Ciro Immobile","Lazio","ITA","FW",NA,32,5,17,5,4,72,30,41.7,0.11,0.27,15,0,72,48,24,15,10,5
"Cristian Buonaiuto","Cremonese","ITA","MF","FW",29,0,1,1,1,42,11,26.2,0,0,19.7,6,60,26,34,2,0,2
"Cristian Volpato","Roma","ITA","MF",NA,18,1,2,0,0,4,1,25,0.25,1,15.7,0,6,5,1,1,1,0
"Cristiano Biraghi","Fiorentina","ITA","DF",NA,29,4,6,1,0,24,5,20.8,0.08,0.4,27.4,15,132,59,73,6,3,3
"Cyriel Dessers","Cremonese","NGA","FW",NA,27,1,7,1,0,49,12,24.5,0.12,0.5,13.6,0,44,28,16,2,1,1
"Cyril Ngonge","Hellas Verona","BEL","MF","FW",22,1,4,0,0,26,10,38.5,0.12,0.3,23.5,0,27,13,14,3,1,2
"Daniel Ciofani","Cremonese","ITA","FW",NA,37,0,8,4,3,28,13,46.4,0.18,0.38,15.7,0,24,17,7,4,1,3
"Daniel Maldini","Spezia","ITA","FW","MF",20,0,2,0,0,15,6,40,0.13,0.33,19,1,22,10,12,0,0,0
"Daniele Montevago","Sampdoria","ITA","FW",NA,19,0,0,0,0,7,1,14.3,0,0,13.1,0,7,6,1,0,0,0
"Daniele Rugani","Juventus","ITA","DF",NA,28,0,0,0,0,4,1,25,0,0,12.1,0,1,1,0,0,0,0
"Daniele Verde","Spezia","ITA","FW","MF",26,0,3,1,1,32,10,31.3,0.06,0.2,21.6,1,44,27,17,1,0,1
"Danilo","Juventus","BRA","DF",NA,31,3,6,0,0,32,5,15.6,0.09,0.6,15,1,62,54,8,4,3,1
"Danilo Cataldi","Lazio","ITA","MF",NA,27,1,1,0,0,7,1,14.3,0,0,28.8,1,35,21,14,2,1,1
"Danilo D'Ambrosio","Inter","ITA","DF",NA,33,2,2,0,0,3,2,66.7,0,0,8.4,0,17,14,3,2,2,0
"Dany Mota","Monza","POR","FW","MF",24,1,6,0,0,28,11,39.3,0.18,0.45,12.1,0,57,42,15,8,2,6
"Darko Lazović","Hellas Verona","SRB","MF","DF",31,5,9,0,0,43,14,32.6,0.09,0.29,18.8,4,67,46,21,5,3,2
"David Okereke","Cremonese","NGA","FW","MF",24,0,7,1,1,60,20,33.3,0.1,0.3,17.2,0,73,42,31,6,0,6
"Dávid Strelec","Spezia","SVK","FW",NA,21,0,0,0,0,3,1,33.3,0,0,11.2,0,4,3,1,2,2,0
"David Zima","Torino","CZE","DF",NA,21,0,0,0,0,4,2,50,0,0,12,0,4,4,0,0,0,0
"Davide Calabria","Milan","ITA","DF",NA,25,4,5,0,0,16,2,12.5,0.06,0.5,23.9,0,37,30,7,6,5,1
