"Player","Squad","Nation","Pos","Pos2","Age","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Aridane Hernández","Osasuna","ESP","DF",NA,31,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,10,8,2,0,0,0
"Aritz Arambarri","Real Sociedad","ESP","DF",NA,22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Aritz Elustondo","Real Sociedad","ESP","DF",NA,26,0,1,0,0,5,1,20,0.2,1,12.3,0,14,14,0,1,1,0
"Asier Illarramendi","Real Sociedad","ESP","MF",NA,30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,7,6,1,1,1,0
"Asier Villalibre","Athletic Club","ESP","FW",NA,22,2,6,0,0,38,14,36.8,0.11,0.29,14.3,0,32,24,8,3,2,1
"Augusto Fernández","Cádiz","ARG","MF",NA,34,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,5,3,2,0,0,0
"Augusto Solari","Celta Vigo","ARG","MF",NA,28,2,4,0,0,5,3,60,0.4,0.67,23.7,0,15,14,1,3,3,0
"Barcia","Granada","ESP","DF",NA,19,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0
"Bobby Adekanye","Cádiz","NED","FW","MF",21,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Borja García","Huesca","ESP","MF","FW",29,0,1,0,0,14,2,14.3,0.07,0.5,18.6,0,40,34,6,0,0,0
"Borja Iglesias","Betis","ESP","FW",NA,27,0,11,5,5,33,10,30.3,0.18,0.6,17.2,0,26,16,10,7,3,4
"Borja Mayoral","Real Madrid","ESP","FW",NA,23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Borja Sainz","Alavés","ESP","MF","FW",19,0,1,0,0,7,4,57.1,0.14,0.25,17,0,6,3,3,0,0,0
"Brais Méndez","Celta Vigo","ESP","MF","FW",23,0,9,1,1,49,21,42.9,0.16,0.38,16.1,1,61,46,15,13,7,6
"Bruno González","Valladolid","ESP","DF",NA,30,0,1,0,0,5,2,40,0.2,0.5,12.4,0,7,5,2,1,1,0
"Bryan Gil","Eibar","ESP","MF","FW",19,3,7,0,0,40,16,40,0.1,0.25,17.4,1,104,68,36,8,5,3
"Bryan Gil","Eibar","ESP","MF","FW",19,3,7,0,0,40,16,40,0.1,0.25,17.4,1,0,0,0,0,0,0
"Bryan Gil","Sevilla","ESP","FW",NA,19,0,0,0,0,40,16,40,0.1,0.25,17.4,1,104,68,36,8,5,3
"Bryan Gil","Sevilla","ESP","FW",NA,19,0,0,0,0,40,16,40,0.1,0.25,17.4,1,0,0,0,0,0,0
"Burgui","Alavés","ESP","MF",NA,26,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0
"Cala","Cádiz","ESP","DF",NA,30,0,3,0,0,14,5,35.7,0.21,0.6,13.4,0,8,4,4,1,0,1
"Cárdenas","Levante","ESP","GK",NA,23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Carles Aleñá","Barcelona","ESP","MF",NA,22,0,0,0,0,30,8,26.7,0.07,0.25,22,0,1,1,0,0,0,0
"Carles Aleñá","Barcelona","ESP","MF",NA,22,0,0,0,0,30,8,26.7,0.07,0.25,22,0,66,31,35,3,2,1
"Carles Aleñá","Getafe","ESP","MF","FW",22,2,4,0,0,30,8,26.7,0.07,0.25,22,0,1,1,0,0,0,0
"Carles Aleñá","Getafe","ESP","MF","FW",22,2,4,0,0,30,8,26.7,0.07,0.25,22,0,66,31,35,3,2,1
"Carlos Akapo","Cádiz","EQG","DF",NA,27,0,1,0,0,2,1,50,0.5,1,23.4,0,7,4,3,0,0,0
"Carlos Bacca","Villarreal","COL","FW",NA,33,0,5,0,0,20,12,60,0.25,0.42,15.8,0,14,9,5,2,1,1
"Carlos Clerc","Levante","ESP","DF",NA,28,3,3,0,0,6,4,66.7,0,0,19.9,1,51,43,8,4,4,0
"Carlos Dominguez","Celta Vigo","ESP","DF",NA,19,0,0,0,0,1,1,100,0,0,8.4,0,3,3,0,0,0,0
"Carlos Fernández","Real Sociedad","ESP","FW","MF",24,2,3,0,0,2,1,50,0,0,7.6,0,4,2,2,0,0,0
"Carlos Fernández","Real Sociedad","ESP","FW","MF",24,2,3,0,0,2,1,50,0,0,7.6,0,10,8,2,2,2,0
"Carlos Fernández","Real Sociedad","ESP","FW","MF",24,2,3,0,0,7,4,57.1,0.14,0.25,14,0,4,2,2,0,0,0
"Carlos Fernández","Real Sociedad","ESP","FW","MF",24,2,3,0,0,7,4,57.1,0.14,0.25,14,0,10,8,2,2,2,0
"Carlos Fernández","Sevilla","ESP","FW",NA,24,0,0,0,0,2,1,50,0,0,7.6,0,4,2,2,0,0,0
"Carlos Fernández","Sevilla","ESP","FW",NA,24,0,0,0,0,2,1,50,0,0,7.6,0,10,8,2,2,2,0
"Carlos Fernández","Sevilla","ESP","FW",NA,24,0,0,0,0,7,4,57.1,0.14,0.25,14,0,4,2,2,0,0,0
"Carlos Fernández","Sevilla","ESP","FW",NA,24,0,0,0,0,7,4,57.1,0.14,0.25,14,0,10,8,2,2,2,0
"Carlos Neva","Granada","ESP","DF",NA,24,0,0,0,0,8,1,12.5,0,0,22.4,0,18,12,6,2,1,1
"Carlos Soler","Valencia","ESP","MF",NA,23,8,19,9,7,28,9,32.1,0.14,0.44,27.4,8,83,36,47,14,3,11
"Casemiro","Real Madrid","BRA","MF",NA,28,4,10,0,0,46,11,23.9,0.13,0.55,18.2,0,55,49,6,8,7,1
"Cheick Doukouré","Levante","CIV","MF","FW",27,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Chema","Getafe","ESP","DF","MF",28,0,0,0,0,3,1,33.3,0,0,28.4,0,4,3,1,0,0,0
