"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Leon Goretzka","Bayern Munich","GER","MF",NA,24,2,0,0,0,25
"Mario Götze","Dortmund","GER","FW",NA,27,0,0,0,0,5
"Jeffrey Gouweleeuw","Augsburg","NED","DF",NA,28,5,0,0,0,12
"Michael Gregoritsch","Augsburg","AUT","MF","FW",25,0,0,0,0,3
"Michael Gregoritsch","Schalke 04","AUT","FW",NA,25,2,0,0,0,10
"Vincenzo Grifo","Freiburg","ITA","MF","FW",26,1,1,0,1,10
"Florian Grillitsch","Hoffenheim","AUT","MF","DF",23,3,0,0,0,25
"Christian Groß","Werder Bremen","GER","DF","MF",30,2,0,0,0,15
"Carlos Gruezo","Augsburg","ECU","MF",NA,24,3,0,0,0,14
"Marko Grujić","Hertha BSC","SRB","MF",NA,23,9,0,0,0,63
"Raphaël Guerreiro","Dortmund","POR","DF","MF",25,3,0,0,0,11
"Babacar Guèye","Paderborn 07","SEN","FW",NA,24,0,0,0,0,4
"Josuha Guilavogui","Wolfsburg","FRA","MF","DF",28,7,1,1,2,44
"Péter Gulácsi","RB Leipzig","HUN","GK",NA,29,0,0,0,0,1
"Manuel Gulde","Freiburg","GER","DF",NA,28,0,0,0,0,7
"Christian Günter","Freiburg","GER","DF",NA,26,2,0,0,0,20
"Jonathan de Guzmán","Eint Frankfurt","NED","MF",NA,31,1,0,0,0,3
"Erling Haaland","Dortmund","NOR","FW",NA,19,0,0,0,0,10
"Janik Haberer","Freiburg","GER","MF","FW",25,5,1,1,2,34
"Alexander Hack","Mainz 05","GER","DF",NA,25,2,0,0,0,12
"André Hahn","Augsburg","GER","FW","MF",28,6,1,1,2,24
"Amadou Haidara","RB Leipzig","MLI","MF",NA,21,1,0,0,0,18
"Achraf Hakimi","Dortmund","MAR","DF","MF",20,5,0,0,0,24
"Marcel Halstenberg","RB Leipzig","GER","DF",NA,27,6,1,1,2,24
"Amine Harit","Schalke 04","MAR","MF","FW",22,3,0,0,0,19
"Martin Harnik","Werder Bremen","AUT","MF","FW",32,1,0,0,0,2
"Makoto Hasebe","Eint Frankfurt","JPN","DF","MF",35,3,0,0,0,6
"Kai Havertz","Leverkusen","GER","MF","FW",20,3,0,0,0,26
"Thorgan Hazard","Dortmund","BEL","FW","MF",26,3,0,0,0,37
"Jonas Hector","Köln","GER","MF","DF",29,9,0,0,0,22
"Dominique Heintz","Freiburg","GER","DF",NA,25,2,0,0,0,15
"Rouwen Hennings","Düsseldorf","GER","FW",NA,31,4,0,0,0,24
"Lucas Hernández","Bayern Munich","FRA","DF",NA,23,3,0,0,0,14
"Patrick Herrmann","Gladbach","GER","FW","MF",28,4,0,0,0,33
"Martin Hinteregger","Eint Frankfurt","AUT","DF",NA,26,8,0,0,0,32
"André Hoffmann","Düsseldorf","GER","DF",NA,26,7,0,0,0,19
"Nicolas Höfler","Freiburg","GER","MF",NA,29,9,0,0,0,52
"Jonas Hofmann","Gladbach","GER","MF","FW",27,3,0,0,0,12
"Marco Höger","Köln","GER","MF",NA,29,2,0,0,0,11
"Lucas Höler","Freiburg","GER","FW","MF",25,4,0,0,0,37
"Gerrit Holtmann","Paderborn 07","PHI","MF","DF",24,1,1,0,1,14
"Timo Horn","Köln","GER","GK",NA,26,0,0,0,0,1
"Lukáš Hrádecký","Leverkusen","FIN","GK",NA,29,1,0,0,0,0
"Benjamin Hübner","Hoffenheim","GER","DF",NA,30,6,2,1,3,24
"Florian Hübner","Union Berlin","GER","DF",NA,28,2,0,0,0,14
"Mats Hummels","Dortmund","GER","DF",NA,30,8,1,1,2,28
"Uwe Hünemeier","Paderborn 07","GER","DF",NA,33,7,1,1,2,17
"Jannik Huth","Paderborn 07","GER","GK",NA,25,0,0,0,0,0
"Iago","Augsburg","BRA","DF","MF",22,0,0,0,0,4
"Vedad Ibišević","Hertha BSC","BIH","FW",NA,34,4,0,0,0,19
"Stefan Ilsanker","RB Leipzig","AUT","DF",NA,30,2,0,0,0,4
"Stefan Ilsanker","Eint Frankfurt","AUT","DF","MF",30,4,0,0,0,16
"Marcus Ingvartsen","Union Berlin","DEN","MF","FW",23,4,0,0,0,48
"Gian-Luca Itter","Freiburg","GER","DF","MF",20,0,0,0,0,0
"Ismail Jakobs","Köln","SEN","FW","DF",19,4,0,0,0,18
"Laurent Jans","Paderborn 07","LUX","DF",NA,26,2,0,0,0,8
"Tony Jantschke","Gladbach","GER","DF",NA,29,6,0,0,0,17
"Rune Jarstein","Hertha BSC","NOR","GK",NA,34,1,1,0,1,0
"Dennis Jastrzembski","Paderborn 07","POL","MF","FW",19,0,0,0,0,1
"Tin Jedvaj","Augsburg","CRO","DF",NA,23,6,0,0,0,19
"Fredrik Jensen","Augsburg","FIN","MF","FW",21,0,0,0,0,3
"Fabian Johnson","Gladbach","USA","MF","DF",31,0,0,0,0,1
"Dejan Joveljić","Eint Frankfurt","SRB","FW",NA,19,1,0,0,0,4
"Mathias Jørgensen","Düsseldorf","DEN","DF",NA,29,1,0,0,0,7
"Ozan Kabak","Schalke 04","TUR","DF",NA,19,4,0,0,0,22
"Pavel Kadeřábek","Hoffenheim","CZE","DF","FW",27,2,0,0,0,30
"Florian Kainz","Köln","AUT","FW","MF",26,5,0,0,0,16
"Salomon Kalou","Hertha BSC","CIV","FW","MF",33,0,0,0,0,4
"Daichi Kamada","Eint Frankfurt","JPN","MF","FW",22,5,0,0,0,28
"Kevin Kampl","RB Leipzig","SVN","MF",NA,28,1,0,0,0,11
"Kenan Karaman","Düsseldorf","TUR","FW","MF",25,4,0,0,0,12
"Mamoudou Karamoko","Wolfsburg","FRA","MF",NA,19,0,0,0,0,0
"Florian Kastenmeier","Düsseldorf","GER","GK",NA,22,0,0,0,0,1
"Noah Katterbach","Köln","GER","DF",NA,18,2,0,0,0,10
"Yannik Keitel","Freiburg","GER","MF",NA,19,0,0,0,0,5
"Jonjoe Kenny","Schalke 04","ENG","DF",NA,22,5,0,0,0,28
"Rani Khedira","Augsburg","GER","MF",NA,25,8,0,0,0,36
"Luca Kilian","Paderborn 07","GER","DF",NA,19,1,0,0,0,6
"Joshua Kimmich","Bayern Munich","GER","MF","DF",24,7,0,0,0,27
"Davy Klaassen","Werder Bremen","NED","MF",NA,26,7,0,0,0,28
"Felix Klaus","Wolfsburg","GER","MF","FW",26,0,1,0,1,12
"Lukas Klostermann","RB Leipzig","GER","DF",NA,23,1,0,0,0,12
"Lukas Klünter","Hertha BSC","GER","DF",NA,23,5,0,0,0,34
"Robin Knoche","Wolfsburg","GER","DF",NA,27,2,0,0,0,8
"Robin Koch","Freiburg","GER","DF","MF",23,3,0,0,0,27
"Dominik Kohr","Eint Frankfurt","GER","MF",NA,25,5,1,0,1,34
"Ibrahima Konaté","RB Leipzig","FRA","DF",NA,20,2,0,0,0,4
"Pascal Köpke","Hertha BSC","GER","FW",NA,23,0,0,0,0,3
"Filip Kostić","Eint Frankfurt","SRB","DF","FW",26,4,0,0,0,36
"Tomáš Koubek","Augsburg","CZE","GK",NA,26,2,0,0,0,0
"Dawid Kownacki","Düsseldorf","POL","FW","MF",22,4,0,0,0,21
"Thomas Kraft","Hertha BSC","GER","GK",NA,31,1,0,0,0,0
"Andrej Kramarić","Hoffenheim","CRO","FW","MF",28,3,0,0,0,6
"Christoph Kramer","Gladbach","GER","MF",NA,28,4,0,0,0,31
"Felix Kroos","Union Berlin","GER","MF","DF",28,1,0,0,0,12
"Lukas Kübler","Freiburg","GER","DF",NA,26,1,0,0,0,2
"Pierre Kunde","Mainz 05","CMR","MF",NA,24,6,0,0,0,26
"Ahmed Kutucu","Schalke 04","TUR","FW","MF",19,2,0,0,0,11
"Konrad Laimer","RB Leipzig","AUT","MF",NA,22,8,1,1,2,62
"Stefan Lainer","Gladbach","AUT","DF",NA,26,9,0,0,0,40
"Michael Lang","Werder Bremen","SUI","DF","FW",28,0,0,0,0,5
