"Player","Squad","Nation","Pos","Pos2","Age","Progression_Carries","Progression_Passes_Delivered","Progression_Passes_Recived","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Key_Passes","Passes_Into_Penalty_Area","Crosses_Into_Penalty_Area","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Davie Selke","Werder Bremen","GER","FW",NA,24,8,8,44,88,141,62.4,54,84,64.3,0,2,0,21,32,65.6,4,2,0,132,9,0,0,0,3,0,0,0,194,8,2,25,6,75
"Davie Selke","Hertha BSC","GER","FW",NA,24,16,14,58,88,141,62.4,54,84,64.3,0,2,0,21,32,65.6,4,2,0,217,18,0,0,0,4,1,0,0,352,12,5,41.7,7,58.3
"Davie Selke","Hertha BSC","GER","FW",NA,24,16,14,58,88,141,62.4,54,84,64.3,0,2,0,21,32,65.6,4,2,0,217,18,0,0,0,4,1,0,0,194,8,2,25,6,75
"Davie Selke","Hertha BSC","GER","FW",NA,24,16,14,58,138,235,58.7,91,137,66.4,1,7,14.3,29,56,51.8,5,5,0,132,9,0,0,0,3,0,0,0,352,12,5,41.7,7,58.3
"Davie Selke","Hertha BSC","GER","FW",NA,24,16,14,58,138,235,58.7,91,137,66.4,1,7,14.3,29,56,51.8,5,5,0,132,9,0,0,0,3,0,0,0,194,8,2,25,6,75
"Davie Selke","Werder Bremen","GER","FW",NA,24,8,8,44,138,235,58.7,91,137,66.4,1,7,14.3,29,56,51.8,5,5,0,217,18,0,0,0,4,1,0,0,352,12,5,41.7,7,58.3
"Davie Selke","Werder Bremen","GER","FW",NA,24,8,8,44,138,235,58.7,91,137,66.4,1,7,14.3,29,56,51.8,5,5,0,217,18,0,0,0,4,1,0,0,194,8,2,25,6,75
"Davie Selke","Hertha BSC","GER","FW",NA,24,16,14,58,88,141,62.4,54,84,64.3,0,2,0,21,32,65.6,4,2,0,132,9,0,0,0,3,0,0,0,352,12,5,41.7,7,58.3
"Davie Selke","Hertha BSC","GER","FW",NA,24,16,14,58,88,141,62.4,54,84,64.3,0,2,0,21,32,65.6,4,2,0,132,9,0,0,0,3,0,0,0,194,8,2,25,6,75
"Davie Selke","Hertha BSC","GER","FW",NA,24,16,14,58,138,235,58.7,91,137,66.4,1,7,14.3,29,56,51.8,5,5,0,217,18,0,0,0,4,1,0,0,352,12,5,41.7,7,58.3
"Davie Selke","Hertha BSC","GER","FW",NA,24,16,14,58,138,235,58.7,91,137,66.4,1,7,14.3,29,56,51.8,5,5,0,217,18,0,0,0,4,1,0,0,194,8,2,25,6,75
"Davie Selke","Werder Bremen","GER","FW",NA,24,8,8,44,88,141,62.4,54,84,64.3,0,2,0,21,32,65.6,4,2,0,217,18,0,0,0,4,1,0,0,352,12,5,41.7,7,58.3
"Davie Selke","Werder Bremen","GER","FW",NA,24,8,8,44,88,141,62.4,54,84,64.3,0,2,0,21,32,65.6,4,2,0,217,18,0,0,0,4,1,0,0,194,8,2,25,6,75
"Davie Selke","Werder Bremen","GER","FW",NA,24,8,8,44,138,235,58.7,91,137,66.4,1,7,14.3,29,56,51.8,5,5,0,132,9,0,0,0,3,0,0,0,352,12,5,41.7,7,58.3
"Davie Selke","Werder Bremen","GER","FW",NA,24,8,8,44,138,235,58.7,91,137,66.4,1,7,14.3,29,56,51.8,5,5,0,132,9,0,0,0,3,0,0,0,194,8,2,25,6,75
"Davy Klaassen","Werder Bremen","NED","MF",NA,26,27,139,92,973,1282,75.9,522,612,85.3,65,109,59.6,342,443,77.2,40,26,2,1231,47,19,3,11,18,25,1,4,1612,16,11,68.8,5,31.3
"Dawid Kownacki","Düsseldorf","POL","FW","MF",22,21,13,91,206,317,65,130,162,80.2,9,21,42.9,62,98,63.3,12,8,1,296,20,1,0,5,16,12,0,1,498,49,19,38.8,30,61.2
"Dayot Upamecano","RB Leipzig","FRA","DF",NA,20,38,186,6,1751,1968,89,530,576,92,237,315,75.2,958,1028,93.2,9,9,0,1918,48,46,0,23,1,2,0,2,2253,38,29,76.3,9,23.7
"Dedryck Boyata","Hertha BSC","BEL","DF",NA,28,11,52,4,1226,1373,89.3,290,319,90.9,190,234,81.2,741,800,92.6,2,1,0,1350,21,20,0,13,0,1,0,2,1688,10,9,90,1,10
"Dejan Joveljić","Eint Frankfurt","SRB","FW",NA,19,0,0,11,22,28,78.6,15,18,83.3,1,2,50,2,2,100,0,0,0,25,3,0,0,0,1,0,0,0,35,1,1,100,0,0
"Denis Zakaria","Gladbach","SUI","MF","DF",22,43,91,19,769,892,86.2,364,397,91.7,67,90,74.4,311,351,88.6,11,9,0,864,25,21,5,3,3,4,0,3,1137,59,46,78,13,22
"Dennis Geiger","Hoffenheim","GER","MF",NA,21,18,75,46,509,610,83.4,245,268,91.4,58,94,61.7,190,213,89.2,29,9,1,523,83,23,2,2,55,8,46,4,704,8,7,87.5,1,12.5
"Dennis Jastrzembski","Paderborn 07","POL","MF","FW",19,7,1,13,35,56,62.5,21,23,91.3,3,7,42.9,4,11,36.4,2,2,1,46,7,1,0,0,9,3,3,3,79,6,1,16.7,5,83.3
"Dennis Srbeny","Paderborn 07","GER","FW","MF",25,14,27,42,153,248,61.7,88,119,73.9,14,23,60.9,44,69,63.8,7,5,1,221,27,3,1,2,6,2,0,0,393,22,13,59.1,9,40.9
"Diadie Samassékou","Hoffenheim","MLI","MF",NA,23,6,50,23,476,587,81.1,213,252,84.5,29,50,58,203,229,88.6,8,6,0,578,6,4,2,5,2,2,0,3,763,23,16,69.6,7,30.4
"Diego Demme","RB Leipzig","GER","MF",NA,27,18,112,16,944,1104,85.5,499,548,91.1,49,78,62.8,349,386,90.4,11,16,1,1062,35,33,2,4,8,2,0,7,1244,19,11,57.9,8,42.1
"Djibril Sow","Eint Frankfurt","SUI","MF",NA,22,37,95,61,713,883,80.7,305,340,89.7,84,129,65.1,301,357,84.3,25,18,9,838,42,20,0,8,39,5,16,3,1106,16,7,43.8,9,56.3
"Dodi Lukebakio","Hertha BSC","BEL","FW","MF",21,68,39,166,463,620,74.7,242,288,84,50,80,62.5,144,200,72,36,20,5,566,53,9,1,6,56,10,21,1,885,65,46,70.8,19,29.2
"Dominick Drexler","Köln","GER","MF","FW",29,50,64,103,483,667,72.4,234,288,81.3,39,76,51.3,181,238,76.1,27,28,12,618,47,13,3,1,48,30,4,2,852,34,17,50,17,50
"Dominik Kohr","Eint Frankfurt","GER","MF",NA,25,31,93,47,636,797,79.8,338,385,87.8,43,78,55.1,227,270,84.1,19,13,2,775,20,13,0,6,13,2,4,2,1003,25,19,76,6,24
"Dominique Heintz","Freiburg","GER","DF",NA,25,27,100,6,1112,1352,82.2,340,383,88.8,179,299,59.9,586,637,92,4,7,4,1294,54,51,3,23,12,3,0,4,1655,21,18,85.7,3,14.3
"Edimilson Fernandes","Mainz 05","SUI","MF","DF",23,12,61,29,599,700,85.6,265,296,89.5,61,86,70.9,244,275,88.7,8,6,2,689,11,10,3,9,15,1,0,0,915,21,14,66.7,7,33.3
