"Player","Squad","Nation","Pos","Pos2","Age","Progression_Carries","Progression_Passes_Delivered","Progression_Passes_Recived","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Key_Passes","Passes_Into_Penalty_Area","Crosses_Into_Penalty_Area","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Antoine Griezmann","Barcelona","FRA","FW",NA,30,5,11,15,544,704,77.3,315,373,84.5,35,61,57.4,143,186,76.9,26,12,0,99,2,2,0,3,0,0,0,0,143,7,3,42.9,4,57.1
"Antoine Griezmann","Atlético Madrid","FRA","FW","MF",30,39,53,126,86,101,85.1,37,43,86,16,17,94.1,22,25,88,0,0,0,653,46,12,5,8,34,7,22,5,890,29,19,65.5,10,34.5
"Antoine Griezmann","Atlético Madrid","FRA","FW","MF",30,39,53,126,86,101,85.1,37,43,86,16,17,94.1,22,25,88,0,0,0,653,46,12,5,8,34,7,22,5,143,7,3,42.9,4,57.1
"Antoine Griezmann","Atlético Madrid","FRA","FW","MF",30,39,53,126,544,704,77.3,315,373,84.5,35,61,57.4,143,186,76.9,26,12,0,653,46,12,5,8,34,7,22,5,890,29,19,65.5,10,34.5
"Antoine Griezmann","Atlético Madrid","FRA","FW","MF",30,39,53,126,544,704,77.3,315,373,84.5,35,61,57.4,143,186,76.9,26,12,0,653,46,12,5,8,34,7,22,5,143,7,3,42.9,4,57.1
"Antoine Griezmann","Atlético Madrid","FRA","FW","MF",30,39,53,126,544,704,77.3,315,373,84.5,35,61,57.4,143,186,76.9,26,12,0,99,2,2,0,3,0,0,0,0,890,29,19,65.5,10,34.5
"Antoine Griezmann","Atlético Madrid","FRA","FW","MF",30,39,53,126,544,704,77.3,315,373,84.5,35,61,57.4,143,186,76.9,26,12,0,99,2,2,0,3,0,0,0,0,143,7,3,42.9,4,57.1
"Antoine Griezmann","Barcelona","FRA","FW",NA,30,5,11,15,86,101,85.1,37,43,86,16,17,94.1,22,25,88,0,0,0,653,46,12,5,8,34,7,22,5,890,29,19,65.5,10,34.5
"Antoine Griezmann","Barcelona","FRA","FW",NA,30,5,11,15,86,101,85.1,37,43,86,16,17,94.1,22,25,88,0,0,0,653,46,12,5,8,34,7,22,5,143,7,3,42.9,4,57.1
"Antoine Griezmann","Barcelona","FRA","FW",NA,30,5,11,15,86,101,85.1,37,43,86,16,17,94.1,22,25,88,0,0,0,99,2,2,0,3,0,0,0,0,890,29,19,65.5,10,34.5
