"Player","Squad","Nation","Pos","Pos2","Age","Born","Total_Match_Played","Total_Playing_Time","Minutes_Per_Match_Played","Percent_of_Squad_Minutes_Played","Matches_Started","Minutes_Per_Match_Start","Complete_Matches_PLayed","Matches_Played_As_Substitute","Minutes_Per_Match_Substitute","Player_Points_Per_Match","Player_On_Pitch_Squad_Goals","Player_On_Pitch_Goals_Allowed","Weekly_Wages","Annual_Wages"
"Nikola Maksimović","Genoa","SRB","DF",NA,29,1991,14,1115,80,32.6,13,84,11,1,20,1,10,16,53462,2780000
"Norbert Gyömbér","Salernitana","SVK","DF",NA,29,1992,31,2563,83,74.9,30,85,24,1,10,0.9,22,51,10385,540000
"Ola Aina","Torino","NGA","DF",NA,24,1996,21,1437,68,42,17,80,7,4,19,1.29,17,19,35577,1850000
"Olivier Giroud","Milan","FRA","FW",NA,34,1986,29,1892,65,55.3,22,76,6,7,33,2.34,36,15,86346,4490000
"Omar Colley","Sampdoria","GAM","DF",NA,28,1992,32,2745,86,80.3,31,88,26,1,10,1.13,42,47,33846,1760000
"Paolo Ghiglione","Genoa","ITA","DF",NA,24,1997,13,603,46,17.6,6,76,3,7,21,0.38,7,16,21346,1110000
"Pasquale Mazzocchi","Venezia","ITA","DF",NA,26,1995,18,1243,69,36.3,15,79,10,3,17,0.78,15,25,3846,2e+05
"Patric","Lazio","ESP","DF",NA,28,1993,24,1649,69,48.2,19,81,11,5,23,1.8,40,27,35577,1850000
"Patrick Cutrone","Empoli","ITA","FW",NA,23,1998,28,1401,50,41,15,71,3,13,25,1.14,20,27,73462,3820000
"Paulo Dybala","Juventus","ARG","FW","MF",27,1993,29,2061,71,60.3,26,76,11,3,28,1.59,34,23,260000,13520000
"Paweł Dawidowicz","Hellas Verona","POL","DF",NA,26,1995,17,1198,70,35,13,87,12,4,18,1.41,29,22,7308,380000
"Paweł Jaroszyński","Salernitana","POL","DF",NA,26,1994,13,516,40,15.1,4,86,2,9,19,0.46,6,20,10385,540000
"Pedro","Lazio","ESP","FW",NA,34,1987,32,2033,64,59.4,25,73,10,7,31,1.66,47,39,61731,3210000
"Petar Stojanović","Empoli","SVN","DF",NA,25,1995,33,2735,83,80,32,85,23,1,28,1.18,39,48,12308,640000
"Pierre Kalulu","Milan","FRA","DF",NA,21,2000,28,1944,69,56.8,21,85,18,7,22,2.21,35,9,14808,770000
"Pietro Pellegri","Milan","ITA","FW",NA,20,2001,6,131,22,3.8,1,14,0,5,23,2.5,5,2,24615,1280000
"Pietro Pellegri","Torino","ITA","FW",NA,20,2001,9,216,24,6.3,1,70,0,8,18,1,1,5,24615,1280000
"Pietro Terracciano","Fiorentina","ITA","GK",NA,31,1990,32,2862,89,83.7,31,90,31,1,72,1.66,52,43,10769,560000
"Piotr Zieliński","Napoli","POL","MF",NA,27,1994,35,2086,60,61,26,73,7,9,20,2,41,24,124615,6480000
"Rade Krunić","Milan","BIH","MF","FW",27,1993,28,1416,51,41.4,15,75,5,13,23,2.39,32,12,39231,2040000
"Radu Drăgușin","Sampdoria","ROU","DF",NA,19,2002,13,620,48,18.1,4,88,3,9,30,1,5,13,17885,930000
"Radu Drăgușin","Salernitana","ROU","DF",NA,19,2002,7,488,70,14.3,5,90,5,2,19,0.71,6,14,17885,930000
"Rafael Leão","Milan","POR","FW",NA,22,1999,34,2605,77,76.2,31,80,13,3,42,2.32,54,20,34423,1790000
"Rafael Tolói","Atalanta","ITA","DF",NA,30,1990,20,1438,72,42,16,84,12,4,26,1.8,33,22,35577,1850000
"Raoul Bellanova","Cagliari","ITA","DF","FW",21,2000,31,2496,81,73,27,87,19,4,36,0.81,22,49,1154,60000
"Raúl Moro","Lazio","ESP","FW",NA,18,2002,11,201,18,5.9,1,45,0,10,16,1.36,1,4,17885,930000
"Răzvan Marin","Cagliari","ROU","MF",NA,25,1996,36,2816,78,82.3,31,87,26,5,25,0.83,30,58,24615,1280000
"Remo Freuler","Atalanta","SUI","MF",NA,29,1992,29,2369,82,69.3,28,83,18,1,52,1.38,34,35,28462,1480000
"Rey Manaj","Spezia","ALB","FW",NA,24,1997,30,1768,59,51.7,19,79,7,11,24,1.13,22,36,10385,540000
"Ricardo Rodríguez","Torino","SUI","DF",NA,28,1992,34,2473,73,72.3,28,84,22,6,20,1.26,30,29,53462,2780000
"Riccardo Calafiori","Roma","ITA","DF",NA,19,2002,6,174,29,5.1,2,72,0,4,8,2.5,3,3,14231,740000
"Riccardo Calafiori","Genoa","ITA","DF",NA,19,2002,3,82,27,2.4,1,45,0,2,19,0.67,0,3,14231,740000
"Riccardo Ciervo","Sampdoria","ITA","MF","DF",19,2002,10,227,23,6.6,1,71,0,9,17,0.1,3,4,3654,190000
"Riccardo Fiamozzi","Empoli","ITA","DF",NA,28,1993,10,620,62,18.1,7,82,4,3,15,0.3,9,16,7115,370000
"Riccardo Marchizza","Empoli","ITA","DF",NA,23,1998,19,1346,71,39.4,16,77,8,3,41,1.16,20,34,17885,930000
"Riccardo Orsolini","Bologna","ITA","FW","MF",24,1997,29,1785,62,52.2,21,77,6,8,20,1.03,21,24,39231,2040000
"Riccardo Saponara","Fiorentina","ITA","FW",NA,29,1991,29,1284,44,37.5,13,73,3,16,21,1.69,30,13,24615,1280000
"Riccardo Sottil","Fiorentina","ITA","FW",NA,22,1999,24,1239,52,36.2,14,73,2,10,21,1.5,16,19,21346,1110000
"Rick Karsdorp","Roma","NED","DF","FW",26,1995,36,2883,80,84.3,32,86,21,4,29,1.75,49,34,78269,4070000
"Ridgeciano Haps","Venezia","SUR","DF",NA,28,1993,25,2056,82,60.1,24,85,18,1,25,0.8,16,39,61731,3210000
"Roberto Gagliardini","Inter","ITA","MF",NA,27,1994,18,649,36,19,6,74,1,12,17,2.39,14,10,53462,2780000
"Roberto Pereyra","Udinese","ARG","MF","FW",30,1991,24,1794,75,52.5,22,79,13,2,33,1.25,32,28,24615,1280000
"Roberto Piccoli","Atalanta","ITA","FW",NA,20,2001,12,196,16,5.7,1,84,0,11,10,1.75,4,2,10769,560000
"Roberto Piccoli","Genoa","ITA","FW",NA,20,2001,5,218,44,6.4,2,72,1,3,25,0.4,1,5,10769,560000
"Roberto Soriano","Bologna","ITA","MF",NA,30,1991,35,2622,75,76.7,32,79,14,3,32,1.2,36,40,39423,2050000
"Robin Gosens","Atalanta","GER","DF",NA,27,1994,6,460,77,13.5,5,84,2,1,41,1.83,7,4,28462,1480000
"Rodrigo Bentancur","Juventus","URU","MF",NA,24,1997,19,1155,61,33.8,13,78,5,6,23,2.05,18,11,89038,4630000
"Roger Ibanez","Roma","BRA","DF",NA,22,1998,34,2889,85,84.5,32,90,32,2,5,1.62,50,39,36923,1920000
"Rogério","Sassuolo","BRA","DF",NA,23,1998,23,1729,75,50.6,19,86,14,4,25,1.3,31,35,25000,1300000
"Rolando Mandragora","Torino","ITA","MF",NA,24,1997,21,1319,63,38.6,16,78,10,5,16,1.14,17,10,21346,1110000
"Ronaldo Vieira","Sampdoria","ENG","MF",NA,23,1998,14,495,35,14.5,4,77,0,10,19,1.14,6,6,17885,930000
"Ruslan Malinovskyi","Atalanta","UKR","MF","FW",28,1993,30,1592,53,46.5,19,67,3,11,28,1.4,31,23,24615,1280000
"Salvador Ferrer","Spezia","ESP","DF","MF",23,1998,27,1495,55,43.7,14,85,11,13,24,1.11,19,37,6154,320000
"Samu Castillejo","Milan","ESP","FW","MF",26,1995,5,125,25,3.7,1,45,0,4,20,2,6,0,53462,2780000
