"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Nicolas Cozza","Nantes","FRA","DF",NA,24,2,0,0,0,9
"Trévis Dago","Lille","CIV","FW","MF",18,1,0,0,0,2
"Thijs Dallinga","Toulouse","NED","FW",NA,22,6,0,0,0,37
"Kevin Danso","Lens","AUT","DF",NA,24,6,0,0,0,23
"Dante","Nice","BRA","DF",NA,39,5,1,0,1,42
"Mohammed Daramy","Reims","DEN","FW","MF",21,0,0,0,0,7
"Achraf Dari","Brest","MAR","DF","FW",24,0,0,0,0,2
"Jonathan David","Lille","CAN","FW",NA,23,4,0,0,0,29
"Thibault De Smet","Reims","BEL","DF",NA,25,7,1,0,1,38
"Romain Del Castillo","Brest","FRA","FW",NA,27,4,0,0,0,21
"Thomas Delaine","Strasbourg","FRA","DF","MF",31,5,0,0,0,39
"Sacha Delaye","Montpellier","FRA","MF","FW",21,1,0,0,0,6
"Ousmane Dembélé","Paris S-G","FRA","MF","FW",26,0,0,0,0,7
"Jessy Deminguet","Strasbourg","FRA","MF","FW",25,1,0,0,0,16
"Rémy Descamps","Nantes","FRA","GK",NA,27,1,0,0,0,0
"Mikkel Desler","Toulouse","DEN","DF",NA,28,2,0,0,0,17
"Arthur Desmas","Le Havre","FRA","GK",NA,29,2,0,0,0,0
"Mamadou Diakhon","Reims","FRA","FW","MF",17,0,0,0,0,4
"Bafodé Diakité","Lille","FRA","DF",NA,22,4,0,0,0,16
"Ibrahim Diakité","Reims","GUI","DF",NA,19,0,0,0,0,5
"Oumar Diakité","Reims","CIV","FW",NA,19,4,0,0,0,35
"Habib Diarra","Strasbourg","SEN","MF","FW",19,3,0,0,0,40
"Moussa Diarra","Toulouse","MLI","DF",NA,22,5,0,0,0,22
"Krépin Diatta","Monaco","SEN","DF","FW",24,2,0,0,0,18
"Mory Diaw","Clermont Foot","SEN","GK",NA,30,3,0,0,0,0
"Mahamadou Diawara","Lyon","FRA","MF",NA,18,2,0,0,0,10
"Bamba Dieng","Lorient","SEN","FW",NA,23,3,0,0,0,7
"Sinaly Diomande","Lyon","CIV","DF",NA,22,2,0,0,0,12
"Edan Diop","Monaco","FRA","MF","DF",18,3,0,0,0,7
"Sofiane Diop","Nice","FRA","FW",NA,23,0,0,0,0,9
"Andy Diouf","Lens","FRA","MF",NA,20,2,0,0,0,12
"Yehvann Diouf","Reims","FRA","GK",NA,23,1,0,0,0,0
"Chaim El Djebali","Lyon","TUN","MF",NA,19,0,0,0,0,1
"Jeremy Doku","Rennes","BEL","FW",NA,21,0,0,0,0,2
"Gianluigi Donnarumma","Paris S-G","ITA","GK",NA,24,3,1,0,1,2
"Siriné Doucouré","Lorient","MLI","FW",NA,21,2,0,0,0,10
"Désiré Doué","Rennes","FRA","MF","FW",18,3,0,0,0,35
"Guela Doué","Rennes","CIV","DF",NA,20,1,1,0,1,29
"Douglas","Nantes","BRA","MF",NA,26,7,0,0,0,48
"Ismaël Doukouré","Strasbourg","FRA","MF","DF",20,4,0,0,0,19
"Kamory Doumbia","Brest","MLI","MF",NA,20,1,0,0,0,15
